winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,2,2,2,2,2,2,2,2,2,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2001,4,4,4,4,4,4,4,4,4,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2002,30,30,30,30,30,30,30,30,30,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2003,6,6,6,6,6,6,6,6,6,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2004,10.5,7,7,7,7,20.35,40.2,64.35,234,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2005,4,4,4,4,4,8,17,33.2,56,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2006,17.5,0,0,3,9,28.05,51.4,106.6,238,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2007,17,0,0,3,7,29,46.6,67.35,260,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2008,24,0,0,5.8,12,33,49.8,102,252,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2009,12,11,11,11,11,14,25,47.3,79,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2010,8,1,1,3,5,12,17.2,30.05,130,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2011,12,5,5,6,9,14,20.2,35.6,66,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2012,15,6,6,7,9,19,27.2,58.05,122,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2013,33.5,32,32,32,32,37.35,43.2,59.05,128,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2014,74,74,74,74,74,74,74,74,104,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2015,183,183,183,183,183,183,183,183,183,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2016,54,54,54,54,54,54,54,54,54,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2017,82,82,82,82,82,82,82,82,82,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2018,76,76,76,76,76,76,76,76,76,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2019,23,23,23,23,23,23,23,23,23,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2020,13,13,13,13,13,13,13,13,13,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2021,56,56,56,56,56,56,56,56,56,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2022,26,26,26,26,26,26,26,26,26,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2023,133,133,133,133,133,133,133,133,133,26039b9481f10d6ec391877b8a03bb7db62bfa5e
2024,71,71,71,71,71,71,71,71,71,26039b9481f10d6ec391877b8a03bb7db62bfa5e
