winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,501,501,501,501,501,504.7,523.2,623.7,818,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
1993,703,703,703,703,703,703,704,717,725,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
1994,934,934,934,934,934,934,934,934,934,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
1995,1306,1306,1306,1306,1306,1306,1306,1306,1306,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
1996,1675,1675,1675,1675,1675,1675,1675,1681,1695,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
1997,1740,1740,1740,1740,1740,1740,1740,1741,1757,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
1998,1959,1959,1959,1959,1959,1959,1963,1984,2049,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
1999,2766,2734,2734,2745,2755,2773,2788,2807,3045,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2000,2373,2370,2370,2370,2370,2383,2399,2428,2495,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2001,2028,2015,2015,2015,2019,2038,2059,2100,2128,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2002,3407,3388,3388,3388,3392,3424,3435,3474,3556,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2003,3688,3642,3644,3650,3667,3708,3736,3797,3910,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2004,3588,3588,3588,3588,3588,3588,3588,3599,3611,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2005,4112,4111,4111,4111,4111,4116,4120,4131,4148,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2006,2816,2816,2816,2816,2816,2816,2821,2831,2844,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2007,2734,2734,2734,2734,2734,2734,2734,2734,2734,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2008,897,897,897,897,897,897,897,900,974,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2009,1419,1419,1419,1419,1419,1419,1419,1419,1419,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2010,2133,2133,2133,2133,2133,2133,2133,2133,2133,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2011,2269,2257,2257,2257,2261,2281,2307,2363,2498,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2012,965,965,965,965,965,965,965,965,965,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2013,1518,1518,1518,1518,1518,1518,1522,1535,1560,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2014,911,911,911,911,911,911,913.4,926.3,963,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2015,1213,1213,1213,1213,1213,1213,1213,1213,1213,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2016,648,648,648,648,648,648,648,648,648,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2017,681,681,681,681,681,681,681,681,713,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2018,813,813,813,813,813,813,813,813,837,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2019,1453,1453,1453,1453,1453,1453,1453,1503,1620,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2020,875.5,853,853,854.8,863,887,902.2,957,1142,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2021,2267,2230,2230,2237,2255,2291,2339,2412,2589,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2022,1036,1036,1036,1036,1036,1036,1036,1036,1036,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2023,841.5,831,831,831,833,848.4,867.6,964.8,1165,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
2024,1864,1842,1842,1846,1854,1880,1916,1999,2111,c1f07af83d3e142b99c9defc5f571420e4ccf7fe
