analysis,centre_winter,duration,estimate,se,lcl,ucl
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2005,5,2.387,0.1345,2.124,2.651
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2006,5,2.396,0.1367,2.128,2.664
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2007,5,2.337,0.1356,2.072,2.603
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2008,5,2.23,0.134,1.968,2.493
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2009,5,2.103,0.1376,1.834,2.373
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2010,5,1.971,0.1533,1.671,2.271
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2011,5,1.871,0.1719,1.534,2.208
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2012,5,1.85,0.1774,1.502,2.198
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2013,5,1.821,0.1847,1.459,2.183
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2014,5,1.873,0.1862,1.508,2.238
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2015,5,1.868,0.1853,1.504,2.231
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2016,5,1.838,0.1809,1.484,2.193
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2017,5,1.798,0.1719,1.461,2.135
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2018,5,1.739,0.162,1.422,2.057
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2019,5,1.589,0.1572,1.281,1.897
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2020,5,1.52,0.1603,1.206,1.835
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2021,5,1.47,0.1692,1.139,1.802
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2022,5,1.458,0.1759,1.114,1.803
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,1999.5,10,2.05,0.1105,1.833,2.266
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2000.5,10,2.155,0.1031,1.953,2.358
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2001.5,10,2.248,0.1028,2.046,2.449
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2002.5,10,2.304,0.1042,2.1,2.509
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2003.5,10,2.325,0.1042,2.121,2.529
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2004.5,10,2.319,0.1033,2.116,2.521
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2005.5,10,2.292,0.1023,2.092,2.493
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2006.5,10,2.242,0.1019,2.042,2.442
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2007.5,10,2.179,0.1055,1.972,2.386
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2008.5,10,2.134,0.1103,1.918,2.35
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2009.5,10,2.094,0.1152,1.868,2.319
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2010.5,10,2.026,0.1214,1.788,2.264
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2011.5,10,1.988,0.1269,1.74,2.237
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2012.5,10,1.919,0.1321,1.66,2.178
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2013.5,10,1.855,0.1359,1.588,2.121
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2014.5,10,1.824,0.1354,1.559,2.09
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2015.5,10,1.78,0.1349,1.516,2.045
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2016.5,10,1.731,0.1343,1.468,1.995
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2017.5,10,1.694,0.1314,1.436,1.952
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2018.5,10,1.654,0.1303,1.399,1.91
ea8abafabfa63e26aa90c48085a6d3cb21f0112a,2019.5,10,1.628,0.1293,1.375,1.882
