analysis,centre_winter,duration,estimate,se,lcl,ucl
104f922a374846ab34934f9d752549347c6a4164,1994,5,5.591,0.1248,5.347,5.836
104f922a374846ab34934f9d752549347c6a4164,1995,5,5.555,0.1336,5.293,5.817
104f922a374846ab34934f9d752549347c6a4164,1996,5,5.492,0.1587,5.181,5.803
104f922a374846ab34934f9d752549347c6a4164,1997,5,5.544,0.1527,5.244,5.843
104f922a374846ab34934f9d752549347c6a4164,1998,5,5.619,0.1441,5.337,5.902
104f922a374846ab34934f9d752549347c6a4164,1999,5,5.716,0.1335,5.455,5.978
104f922a374846ab34934f9d752549347c6a4164,2000,5,5.875,0.1115,5.657,6.094
104f922a374846ab34934f9d752549347c6a4164,2001,5,6.017,0.106,5.809,6.225
104f922a374846ab34934f9d752549347c6a4164,2002,5,6.041,0.1017,5.842,6.241
104f922a374846ab34934f9d752549347c6a4164,2003,5,6.055,0.1019,5.855,6.254
104f922a374846ab34934f9d752549347c6a4164,2004,5,6.047,0.1051,5.841,6.253
104f922a374846ab34934f9d752549347c6a4164,2005,5,6.006,0.1193,5.772,6.24
104f922a374846ab34934f9d752549347c6a4164,2006,5,6.047,0.119,5.814,6.281
104f922a374846ab34934f9d752549347c6a4164,2007,5,6.14,0.1119,5.92,6.359
104f922a374846ab34934f9d752549347c6a4164,2008,5,6.228,0.113,6.006,6.449
104f922a374846ab34934f9d752549347c6a4164,2009,5,6.369,0.1064,6.161,6.578
104f922a374846ab34934f9d752549347c6a4164,2010,5,6.544,0.1025,6.343,6.745
104f922a374846ab34934f9d752549347c6a4164,2011,5,6.638,0.1021,6.437,6.838
104f922a374846ab34934f9d752549347c6a4164,2012,5,6.716,0.103,6.514,6.917
104f922a374846ab34934f9d752549347c6a4164,2013,5,6.837,0.1042,6.632,7.041
104f922a374846ab34934f9d752549347c6a4164,2014,5,6.902,0.1062,6.694,7.11
104f922a374846ab34934f9d752549347c6a4164,2015,5,6.934,0.1068,6.725,7.143
104f922a374846ab34934f9d752549347c6a4164,2016,5,6.888,0.1011,6.69,7.087
104f922a374846ab34934f9d752549347c6a4164,2017,5,6.825,0.09937,6.63,7.02
