euring,language,vernacular
20,deu,Sterntaucher
20,eng,Red-Throated Diver
20,fra,Plongeon catmarin
20,nld,Roodkeelduiker
40,deu,Eistaucher
40,eng,Great Northern Loon
40,fra,Plongeon imbrin
40,nld,IJsduiker
70,deu,Zwergtaucher
70,eng,Little Grebe
70,fra,Gèrbe castagneux
70,nld,Dodaars
90,deu,Haubentaucher
90,eng,Great Crested Grebe
90,fra,Grèbe huppé
90,nld,Fuut
100,deu,Rothalstaucher
100,eng,Red-Necked Grebe
100,fra,Grèbe jougris
100,nld,Roodhalsfuut
110,deu,Ohrentaucher
110,eng,Horned Grebe / Slavonian Grebe
110,fra,Grèbe esclavon
110,nld,Kuifduiker
120,deu,Schwarzhalstaucher
120,eng,Eared Grebe
120,fra,Grèbe à cou noir
120,nld,Geoorde Fuut
720,deu,Kormoran
720,eng,Long-Tailed Cormorant
720,fra,Grand Cormoran
720,nld,Aalscholver
950,deu,Rohrdommel
950,eng,great bittern
950,fra,Butor étoilé
950,nld,Roerdomp
1110,deu,Kuhreiher
1110,eng,Western Cattle Egret
1110,fra,Héron gardeboeufs
1110,nld,Koereiger
1190,deu,Seidenreiher
1190,eng,little egret
1190,fra,Aigrette garzette
1190,nld,Kleine Zilverreiger
1210,deu,Silberreiher
1210,eng,Great White Egret
1210,fra,Grande Aigrette
1210,nld,Grote Zilverreiger
1220,deu,Graureiher
1220,eng,Grey Heron
1220,fra,Héron cendré
1220,nld,Blauwe Reiger
1340,deu,Weißstorch
1340,eng,White Stork
1340,fra,Cigogne blanche
1340,nld,Ooievaar
1440,deu,Löffler
1440,eng,Eurasian Spoonbill
1440,fra,Spatule blanche
1440,nld,Lepelaar
1520,deu,Höckerschwan
1520,eng,mute swan
1520,fra,Cygne tuberculé
1520,nld,Knobbelzwaan
1530,deu,Zwergschwan
1530,eng,Tundra Swan
1530,fra,Cygne de Bewick
1530,nld,Kleine Zwaan
1540,deu,Singschwan
1540,eng,Whooper Swan
1540,fra,Cygne chanteur
1540,nld,Wilde Zwaan
1560,nld,Zwaangans
1570,deu,Saatgans
1570,eng,Taiga Bean-Goose
1570,fra,Oie de la taïga
1570,nld,Rietgans 
1580,deu,Kurzschnabelgans
1580,eng,Pink-Footed Goose
1580,fra,Oie à bec court
1580,nld,Kleine Rietgans
1590,deu,Blässgans
1590,eng,White-Fronted Goose
1590,fra,Oie rieuse
1590,nld,Kolgans
1610,deu,Graugans
1610,eng,Graylag Goose
1610,fra,Oie cendrée
1610,nld,Grauwe Gans
1619,eng,Domesticated Geese
1619,nld,Boerengans
1620,deu,Streifengans
1620,eng,bar-headed goose
1620,fra,Oie à tête barrée
1620,nld,Indische Gans
1630,deu,Schneegans
1630,eng,Snow Goose
1630,fra,Oie des neiges
1630,nld,Sneeuwgans
1660,deu,Kanadagans
1660,eng,Canada goose
1660,fra,Bernache du Canada
1660,nld,Grote Canadese Gans
1663,eng,hutchins’s canada goose
1663,fra,Bernache de Hutchins
1663,nld,Kleine Canadese Gans
1670,deu,Weißwangengans
1670,eng,Barnacle Goose
1670,fra,Bernache nonnette
1670,nld,Brandgans
1680,deu,Ringelgans
1680,eng,Black Brant Goose
1680,fra,Bernache cravant
1680,nld,Rotgans
1690,deu,Rothalsgans
1690,eng,red-breasted goose
1690,fra,Bernache à cou roux
1690,nld,Roodhalsgans
1700,deu,Nilgans
1700,eng,Egyptian goose
1700,fra,Ouette d'Egypte
1700,nld,Nijlgans
1710,deu,Rostgans
1710,eng,ruddy shelduck
1710,fra,Tadorne casarca
1710,nld,Casarca
1730,deu,Brandente
1730,eng,Common Shelduck
1730,fra,Tadorne de Belon
1730,nld,Bergeend
1750,eng,Domestic Muscovy Duck
1770,deu,Brautente
1770,eng,Wood Duck
1770,fra,Canard carolin
1770,nld,Carolina-Eend
1780,deu,Mandarinente
1780,eng,mandarin duck
1780,fra,Canard mandarin
1780,nld,Mandarijneend
1790,deu,Pfeifente
1790,eng,Eurasian Wigeon
1790,fra,Canard siffleur
1790,nld,Smient
1820,deu,Schnatterente
1820,eng,Gadwall
1820,fra,Canard chipeau
1820,nld,Krakeend
1840,deu,Krickente
1840,eng,"Teal, Common Teal"
1840,fra,Sarcelle d'hiver
1840,nld,Wintertaling
1860,deu,Stockente
1860,eng,Mallard/American Black Duck
1860,fra,Canard colvert
1860,nld,Wilde Eend
1869,nld,Soepeend
1890,deu,Spiessente
1890,eng,Northern Pintail
1890,fra,Canard pilet
1890,nld,Pijlstaart
1910,deu,Knäkente
1910,eng,garganey
1910,fra,Sarcelle d'été
1910,nld,Zomertaling
1940,deu,Löffelente
1940,eng,"Shoveler, Northern Shoveler"
1940,fra,Canard souchet
1940,nld,Slobeend
1960,deu,Kolbenente
1960,eng,Red-crested Pochard
1960,fra,Nette rousse
1960,nld,Krooneend
1980,deu,Tafelente
1980,eng,common pochard
1980,fra,Fuligule milouin
1980,nld,Tafeleend
2020,deu,Moorente
2020,eng,Ferruginous Duck
2020,fra,Fuligule nyroca
2020,nld,Witoogeend
2030,deu,Reiherente
2030,eng,Tufted Duck
2030,fra,Fuligule morillon
2030,nld,Kuifeend
2040,deu,Bergente
2040,eng,Greater Scaup
