species,locationgroup,model_type,analysis,fingerprint,status
5290,WALN2K,yearly imputed index: Total ~ Year + Month,0012990ec7038a38182edea8cb61ff9ee142791d,190517cf54ee0fdbe770b6d436c889afb30aa3f7,converged
5460,WAL,smoothed imputed index: Total ~ Year + Month,0014679bf21746ef59f8c351238bf14f0d16185f,94b205c1405c34177110757887dfcb5c38e5253b,converged
1560,BELN2K,smoothed imputed index: Total ~ Year + Month,0016cd06f8e982eb34bafa1be2916fa273010116,92f128c3072c78a7c04f67143670a6e01b187e55,converged
6000,ZS,yearly imputed index: Total ~ Year + Month,00180809d3c065240d4846ce08c3445c6bdf650c,1887266de049f4fbe777f02b49b36ed2ad14b678,converged
1590,WAL,yearly imputed index: Total ~ Year + Month,002b8496e9fbfefb4835576a956bcc0e4c8c3dc5,591787ac4e75ed82d4390dd4a6518865a662f64b,converged
4930,BEL,inla zeroinflatednbinomial0: year * (location + month),004a59b5510159a12556d70fd619e509cec37bfa,d7d9f30903142e21290515ea0dded865f3970ac4,converged
4850,NOH,aggregate imputed: sum ~ year + month,00597f9bad3fcfdb175a9fc9b9c3ef0321d51cd2,add64a508e4da3e32bc2d179f20992b1be446c1f,converged
5920,WETL,smoothed imputed index: Total ~ Year,00649c0a9a98a55855aed53c647d7840c45a4a7e,faa344f5251bac045a2ea7dfbd25a232ebecd28a,converged
1750,RO,smoothed imputed index: Total ~ Year,00811acfcd3a93b9b94a6d00882746eb68f14238,d1e361681a862e8e27b04cc8f2dbb348e3afca03,converged
1820,ZR,aggregate imputed: max ~ year,008608ec62425c665da0a54e19088e519da978b9,c2dd465e43f4e5f98c41e7567f7230b2eeef751c,converged
5410,NOH,aggregate imputed: sum ~ year + month,00925d98c4925e35e593a9f3a537de6e26246ca9,a7fd3b7c667c438ea7f3f83b4d866dcc9e17a4d3,converged
1620,VLAA,aggregate not imputed: sum ~ year + month,00a64878284719a05f0e26c6b68433fb23bf9584,67595b20bffd733718c3364060df8c27fa7b61c5,converged
1440,LO,smoothed imputed index: Total ~ Year + Month,00ce076a906b4ee4972bb35992bac676fd6f63dd,cbcb458304ef87cca16bc39df2ee8a461c320000,converged
1980,BEL,inla binomial: year * (location + month),00e005ed8d8f45f09e9bfbc9682960e881b9b7e6,c89bc92b3e25df9da13a04f1bffa4cebb636cd3f,converged
1590,LO,aggregate not imputed: sum ~ year + month,00e130a6f460899c04dd1518808a01abd13596ce,e55dc3751700dc4d014956928b6152fe0e4de47a,converged
1574,SEST,smoothed imputed index: Total ~ Year,00e36a35ef14ec4d0828dc9f886e60e077421d76,b66939b252cb7cb8770464f7f18aa0617e2339b4,converged
1710,VLN2K,aggregate imputed: max ~ year,00e91bb239100756fd0e8c9f4336372fd2875c48,ec4996107d4a4f553674d944d593ff6327fce4e0,converged
