external_code,description
BEL,België
BELN2K,Natura2000 België
LO,Linkeroever
NOH,NOHaven
RO,Rechteroever
SEST,Sigma-Estuarien
VLAA,Vlaanderen
VLN2K,Natura2000 Vlaanderen
WAL,Wallonië
WALN2K,Natura2000 Wallonië
WETL,Sigma-Wetland
ZR,Zijrivieren Zeeschelde
ZS,Zeeschelde
ZSVAL,Vallei
