winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1996,December,12,12,12,12,12,12,12,12,12,2b001fc2043c1e0f993a64aa94562c799e8838c8
1997,January,11,11,11,11,11,11,11,11,11,2b001fc2043c1e0f993a64aa94562c799e8838c8
1997,March,8,8,8,8,8,8,8,8,8,2b001fc2043c1e0f993a64aa94562c799e8838c8
1997,October,1,1,1,1,1,1,1,1,1,2b001fc2043c1e0f993a64aa94562c799e8838c8
1997,November,12,12,12,12,12,12,12,12,12,2b001fc2043c1e0f993a64aa94562c799e8838c8
1997,December,11,11,11,11,11,11,11,11,11,2b001fc2043c1e0f993a64aa94562c799e8838c8
1997,NA,10,10,10,10,10,10,10,10,10,2b001fc2043c1e0f993a64aa94562c799e8838c8
1998,March,10,10,10,10,10,10,10,10,10,2b001fc2043c1e0f993a64aa94562c799e8838c8
1998,November,17,17,17,17,17,17,17,17,17,2b001fc2043c1e0f993a64aa94562c799e8838c8
1998,December,16,16,16,16,16,16,16,16,16,2b001fc2043c1e0f993a64aa94562c799e8838c8
1998,NA,1,1,1,1,1,1,1,1,1,2b001fc2043c1e0f993a64aa94562c799e8838c8
1999,January,27,27,27,27,27,27,27,27,27,2b001fc2043c1e0f993a64aa94562c799e8838c8
1999,March,13,13,13,13,13,13,13,13,13,2b001fc2043c1e0f993a64aa94562c799e8838c8
1999,October,6,6,6,6,6,6,6,6,6,2b001fc2043c1e0f993a64aa94562c799e8838c8
2000,January,30,30,30,30,30,30,30,30,30,2b001fc2043c1e0f993a64aa94562c799e8838c8
2000,March,11,11,11,11,11,11,11,11,11,2b001fc2043c1e0f993a64aa94562c799e8838c8
2000,November,33,33,33,33,33,33,33,33,33,2b001fc2043c1e0f993a64aa94562c799e8838c8
2000,December,27,27,27,27,27,27,27,27,27,2b001fc2043c1e0f993a64aa94562c799e8838c8
2000,NA,30,30,30,30,30,30,30,30,30,2b001fc2043c1e0f993a64aa94562c799e8838c8
2001,January,76,76,76,76,76,76,76,76,76,2b001fc2043c1e0f993a64aa94562c799e8838c8
2001,March,25,25,25,25,25,25,25,25,25,2b001fc2043c1e0f993a64aa94562c799e8838c8
2001,October,7,7,7,7,7,7,7,7,7,2b001fc2043c1e0f993a64aa94562c799e8838c8
2001,November,33,33,33,33,33,33,33,33,33,2b001fc2043c1e0f993a64aa94562c799e8838c8
2001,December,64,64,64,64,64,64,64,64,64,2b001fc2043c1e0f993a64aa94562c799e8838c8
2001,NA,47,47,47,47,47,47,47,47,47,2b001fc2043c1e0f993a64aa94562c799e8838c8
2002,January,105,105,105,105,105,105,105,105,105,2b001fc2043c1e0f993a64aa94562c799e8838c8
2002,March,64,64,64,64,64,64,64,64,64,2b001fc2043c1e0f993a64aa94562c799e8838c8
2002,October,83,83,83,83,83,83,83,83,83,2b001fc2043c1e0f993a64aa94562c799e8838c8
2002,November,68,68,68,68,68,68,68,68,68,2b001fc2043c1e0f993a64aa94562c799e8838c8
2002,December,82,82,82,82,82,82,82,82,82,2b001fc2043c1e0f993a64aa94562c799e8838c8
2002,NA,85,85,85,85,85,85,85,85,85,2b001fc2043c1e0f993a64aa94562c799e8838c8
2003,January,150,150,150,150,150,150,150,150,150,2b001fc2043c1e0f993a64aa94562c799e8838c8
2003,March,98,98,98,98,98,98,98,98,98,2b001fc2043c1e0f993a64aa94562c799e8838c8
2003,October,60,60,60,60,60,60,60,60,60,2b001fc2043c1e0f993a64aa94562c799e8838c8
2003,November,145,145,145,145,145,145,145,145,145,2b001fc2043c1e0f993a64aa94562c799e8838c8
2003,December,227,227,227,227,227,227,227,227,227,2b001fc2043c1e0f993a64aa94562c799e8838c8
2003,NA,182,182,182,182,182,182,182,182,182,2b001fc2043c1e0f993a64aa94562c799e8838c8
2004,January,72,72,72,72,72,72,72,72,72,2b001fc2043c1e0f993a64aa94562c799e8838c8
2004,March,122,122,122,122,122,122,122,122,122,2b001fc2043c1e0f993a64aa94562c799e8838c8
2004,October,12,12,12,12,12,12,12,12,12,2b001fc2043c1e0f993a64aa94562c799e8838c8
2004,November,1,1,1,1,1,1,1,1,1,2b001fc2043c1e0f993a64aa94562c799e8838c8
2004,December,131,131,131,131,131,131,131,131,131,2b001fc2043c1e0f993a64aa94562c799e8838c8
2004,NA,25,25,25,25,25,25,25,25,25,2b001fc2043c1e0f993a64aa94562c799e8838c8
2005,January,170,170,170,170,170,170,170,170,170,2b001fc2043c1e0f993a64aa94562c799e8838c8
2005,March,125,125,125,125,125,125,125,125,125,2b001fc2043c1e0f993a64aa94562c799e8838c8
2005,October,3,3,3,3,3,3,3,3,3,2b001fc2043c1e0f993a64aa94562c799e8838c8
2005,November,53,53,53,53,53,53,53,53,53,2b001fc2043c1e0f993a64aa94562c799e8838c8
2005,December,147,147,147,147,147,147,147,147,147,2b001fc2043c1e0f993a64aa94562c799e8838c8
2005,NA,126,126,126,126,126,126,126,126,126,2b001fc2043c1e0f993a64aa94562c799e8838c8
2006,January,183,183,183,183,183,183,183,183,183,2b001fc2043c1e0f993a64aa94562c799e8838c8
2006,March,138,138,138,138,138,138,138,138,138,2b001fc2043c1e0f993a64aa94562c799e8838c8
2006,October,40,40,40,40,40,40,40,40,40,2b001fc2043c1e0f993a64aa94562c799e8838c8
2006,November,67,67,67,67,67,67,67,67,67,2b001fc2043c1e0f993a64aa94562c799e8838c8
2006,December,189,189,189,189,189,189,189,189,189,2b001fc2043c1e0f993a64aa94562c799e8838c8
2006,NA,172,172,172,172,172,172,172,172,172,2b001fc2043c1e0f993a64aa94562c799e8838c8
2007,January,162,162,162,162,162,162,162,162,162,2b001fc2043c1e0f993a64aa94562c799e8838c8
2007,March,143,143,143,143,143,143,143,143,143,2b001fc2043c1e0f993a64aa94562c799e8838c8
2007,October,2,2,2,2,2,2,2,2,2,2b001fc2043c1e0f993a64aa94562c799e8838c8
2007,November,166,166,166,166,166,166,166,166,166,2b001fc2043c1e0f993a64aa94562c799e8838c8
2007,December,270,270,270,270,270,270,270,270,270,2b001fc2043c1e0f993a64aa94562c799e8838c8
2007,NA,222,222,222,222,222,222,222,222,222,2b001fc2043c1e0f993a64aa94562c799e8838c8
2008,January,220,220,220,220,220,220,220,220,220,2b001fc2043c1e0f993a64aa94562c799e8838c8
2008,March,261,261,261,261,261,261,261,261,261,2b001fc2043c1e0f993a64aa94562c799e8838c8
2008,October,24,24,24,24,24,24,24,24,24,2b001fc2043c1e0f993a64aa94562c799e8838c8
