winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,3,3,3,3,3,3,3,3,3,cb28ec2e899ba98f8108addb51ad0045656b9314
2001,7,7,7,7,7,7,7,7,7,cb28ec2e899ba98f8108addb51ad0045656b9314
2002,3,3,3,3,3,3,3,3,3,cb28ec2e899ba98f8108addb51ad0045656b9314
2003,3,3,3,3,3,3,3,6,10,cb28ec2e899ba98f8108addb51ad0045656b9314
2004,2,2,2,2,2,2,2,2,2,cb28ec2e899ba98f8108addb51ad0045656b9314
2005,2,2,2,2,2,2,2,2,2,cb28ec2e899ba98f8108addb51ad0045656b9314
2006,14,14,14,14,14,14,14,14,14,cb28ec2e899ba98f8108addb51ad0045656b9314
2007,10,10,10,10,10,10,10,10,10,cb28ec2e899ba98f8108addb51ad0045656b9314
2008,10,10,10,10,10,10,10,10,10,cb28ec2e899ba98f8108addb51ad0045656b9314
2009,4,4,4,4,4,4,4,4,4,cb28ec2e899ba98f8108addb51ad0045656b9314
2010,6,6,6,6,6,6,6,6,6,cb28ec2e899ba98f8108addb51ad0045656b9314
2011,5,5,5,5,5,5,5,5,5,cb28ec2e899ba98f8108addb51ad0045656b9314
2012,10,10,10,10,10,10,10,10,10,cb28ec2e899ba98f8108addb51ad0045656b9314
2013,9,9,9,9,9,9,9,9,9,cb28ec2e899ba98f8108addb51ad0045656b9314
2014,9,9,9,9,9,9,9,9,10,cb28ec2e899ba98f8108addb51ad0045656b9314
2015,11,11,11,11,11,11,11,12,14,cb28ec2e899ba98f8108addb51ad0045656b9314
2016,15,15,15,15,15,15,15,15,15,cb28ec2e899ba98f8108addb51ad0045656b9314
2017,14,14,14,14,14,14,14,14,14,cb28ec2e899ba98f8108addb51ad0045656b9314
2018,7,7,7,7,7,7,7,7,7,cb28ec2e899ba98f8108addb51ad0045656b9314
2019,8,8,8,8,8,8,8,8,8,cb28ec2e899ba98f8108addb51ad0045656b9314
2020,8,8,8,8,8,8,8,8,8,cb28ec2e899ba98f8108addb51ad0045656b9314
2021,12,12,12,12,12,12,12,12,12,cb28ec2e899ba98f8108addb51ad0045656b9314
2022,16,16,16,16,16,16,16,16,16,cb28ec2e899ba98f8108addb51ad0045656b9314
2023,18,18,18,18,18,18,18,18,18,cb28ec2e899ba98f8108addb51ad0045656b9314
2024,14,14,14,14,14,14,14,14,14,cb28ec2e899ba98f8108addb51ad0045656b9314
