winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,6,6,6,6,6,6,6,6,6,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2001,0,0,0,0,0,0,0,0,0,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2002,3,3,3,3,3,3,3,3,3,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2003,0,0,0,0,0,0,0,0,0,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2004,2,2,2,2,2,2,2,2,2,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2005,7,7,7,7,7,7,7,7,7,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2006,0,0,0,0,0,0,0,0,0,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2007,10,10,10,10,10,10,10,10,10,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2008,19,19,19,19,19,19,19,19,19,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2009,1,1,1,1,1,1,1,6,18,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2010,0,0,0,0,0,0,0,0,0,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2011,27,27,27,27,27,27,27,27,27,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2012,35,35,35,35,35,35,35,35,35,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2013,1,1,1,1,1,1,1,1,1,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2014,4,4,4,4,4,4,4,4,4,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2015,103,103,103,103,103,103,103,103,103,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2016,71,71,71,71,71,71,71,71,71,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2017,119,119,119,119,119,119,119,119,119,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2018,304,304,304,304,304,304,304,304,304,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2019,57,57,57,57,57,57,57,57,57,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2020,24,24,24,24,24,24,24,24,24,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2021,47,47,47,47,47,47,47,47,47,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2022,38,38,38,38,38,38,38,38,38,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2023,36,36,36,36,36,36,36,36,36,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
2024,224,224,224,224,224,224,224,224,224,ceb07dca07dc49ce633aabca2dcce6f05cc1c002
