winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,83.5,83,83,83,83,109.1,173.6,372,683,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
1993,308,308,308,308,308,308,308,308,308,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
1994,154,154,154,154,154,154,154,154,154,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
1995,529,529,529,529,529,529,529,529,529,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
1996,151,151,151,151,151,151,151,151,151,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
1997,88,88,88,88,88,88,88,88,88,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
1998,153,153,153,153,153,153,153,153,153,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
1999,214,214,214,214,214,214,214,277.2,400,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2000,467,467,467,467,467,467,467,467,467,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2001,667,667,667,667,667,667,667,667,667,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2002,204,204,204,204,204,204,204,204,204,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2003,289,289,289,289,289,289,289,320.2,521,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2004,371,371,371,371,371,371,371,371,371,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2005,540,540,540,540,540,540,540,540,540,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2006,394,394,394,394,394,394,394,394,394,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2007,304,304,304,304,304,304,304,304,304,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2008,281,281,281,281,281,281,281,281,281,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2009,98,98,98,98,98,98,98,98,98,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2010,269,269,269,269,269,269,269,269,269,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2011,182,182,182,182,182,182,182,182,182,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2012,247,247,247,247,247,247,247,247,247,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2013,418,418,418,418,418,418,418,418,418,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2014,328,328,328,328,328,328,328,328,328,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2015,309,309,309,309,309,309,309,309,309,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2016,338,338,338,338,338,338,338,338,338,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2017,214,214,214,214,214,214,214,214,214,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2018,116,116,116,116,116,116,116,116,116,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2019,142,142,142,142,142,142,142,142,142,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2020,167,167,167,167,167,167,214.2,284.3,514,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2021,131,131,131,131,131,139,277,462.4,800,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2022,300,184,184,186.4,226.3,412.7,593.6,951.3,1609,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2023,249,136,136,136,159.2,305.4,520.8,770,1892,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
2024,257,257,257,257,257,257,257,257,257,b907b0f5b6ed0a44f55380c86a53829cd8a742e2
