winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,94.5,92,92,92,92.65,99.35,112,158.5,185,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2001,63,63,63,63,63,63.35,65,78.25,258,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2002,31.5,26,26,26,27,38,47,78,396,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2003,49,42,42,43,45,52,62,99.25,187,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2004,55,31,31,34,41.65,63.05,82.2,120.3,201,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2005,197,195,195,195,196,200,203.2,229.3,295,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2006,107.5,96,96,98,100.6,123.4,146.4,189.2,299,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2007,193,191,191,191,191.6,195,198,206,216,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2008,189,189,189,189,189,189,190,193,196,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2009,177,172,172,173,175,181.4,188.2,212.1,287,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2010,77,55,57,59.8,66,83.35,105,148.2,202,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2011,56.5,40,41,45.8,49.65,64.35,78,112.2,219,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2012,69,54,55,59,64,77,90.2,142,173,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2013,84.5,69,70,75,80,95.35,109.4,141.4,175,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2014,207,207,207,207,207,208,209,210,211,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2015,55,53,53,53,54,56,57,61.05,88,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2016,60,60,60,60,60,61,62,65,69,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2017,61,61,61,61,61,62,62,63,66,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2018,74,64,64,66,69,81,92,149,291,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2019,142.5,130,131,133.8,137.6,148.4,157.2,200,311,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2020,140,126,128,133,137.6,148,158,179.4,252,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2021,178,177,177,177,178,179,181.2,186,192,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2022,701,700,700,701,701,702,703,706,709,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2023,180,179,179,179,180,181,181,183,189,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
2024,81,81,81,81,81,81,82,83.05,100,cfb626602cba7fbe0d88fc56dc42cb2d9f2bc67e
