analysis,centre_winter,duration,estimate,se,lcl,ucl
38827a3fa71869b756b31e22450a18b6ff69b6e9,1996,5,6.46,0.1272,6.211,6.71
38827a3fa71869b756b31e22450a18b6ff69b6e9,1997,5,6.482,0.1059,6.275,6.69
38827a3fa71869b756b31e22450a18b6ff69b6e9,1998,5,6.41,0.1038,6.206,6.613
38827a3fa71869b756b31e22450a18b6ff69b6e9,1999,5,6.086,0.1177,5.855,6.317
38827a3fa71869b756b31e22450a18b6ff69b6e9,2000,5,5.699,0.1445,5.415,5.982
38827a3fa71869b756b31e22450a18b6ff69b6e9,2001,5,5.679,0.1227,5.439,5.92
38827a3fa71869b756b31e22450a18b6ff69b6e9,2002,5,5.692,0.1168,5.463,5.921
38827a3fa71869b756b31e22450a18b6ff69b6e9,2003,5,5.748,0.1049,5.542,5.953
38827a3fa71869b756b31e22450a18b6ff69b6e9,2004,5,5.83,0.09655,5.641,6.019
38827a3fa71869b756b31e22450a18b6ff69b6e9,2005,5,5.818,0.09724,5.628,6.009
38827a3fa71869b756b31e22450a18b6ff69b6e9,2006,5,5.715,0.09855,5.522,5.908
38827a3fa71869b756b31e22450a18b6ff69b6e9,2007,5,5.703,0.09831,5.51,5.895
38827a3fa71869b756b31e22450a18b6ff69b6e9,2008,5,5.746,0.09737,5.556,5.937
38827a3fa71869b756b31e22450a18b6ff69b6e9,2009,5,5.811,0.09695,5.621,6.001
38827a3fa71869b756b31e22450a18b6ff69b6e9,2010,5,5.907,0.1004,5.71,6.104
38827a3fa71869b756b31e22450a18b6ff69b6e9,2011,5,5.907,0.1066,5.698,6.116
38827a3fa71869b756b31e22450a18b6ff69b6e9,2012,5,5.853,0.1151,5.628,6.079
38827a3fa71869b756b31e22450a18b6ff69b6e9,2013,5,5.748,0.1153,5.522,5.973
38827a3fa71869b756b31e22450a18b6ff69b6e9,2014,5,5.598,0.1134,5.376,5.82
38827a3fa71869b756b31e22450a18b6ff69b6e9,2015,5,5.464,0.1163,5.236,5.692
38827a3fa71869b756b31e22450a18b6ff69b6e9,2016,5,5.448,0.1077,5.237,5.659
38827a3fa71869b756b31e22450a18b6ff69b6e9,2017,5,5.49,0.09685,5.3,5.679
38827a3fa71869b756b31e22450a18b6ff69b6e9,2018,5,5.463,0.09724,5.272,5.654
38827a3fa71869b756b31e22450a18b6ff69b6e9,2019,5,5.498,0.1024,5.297,5.698
38827a3fa71869b756b31e22450a18b6ff69b6e9,2020,5,5.54,0.1081,5.328,5.752
38827a3fa71869b756b31e22450a18b6ff69b6e9,2021,5,5.535,0.1191,5.302,5.769
