winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,661.5,434,503,570.6,610.2,721.4,852.2,1073,1640,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2001,1118,847,932.4,998,1039,1206,1290,1427,1767,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2002,1154,900,960.4,1058,1112,1233,1295,1511,1753,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2003,1245,950,1072,1153,1196,1304,1379,1529,2206,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2004,639.5,526,555.8,593,610,670,734.2,821.7,1125,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2005,858.5,789,805,823,842,886.4,925.2,986.7,1190,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2006,1268,1061,1104,1151,1190,1364,1441,1643,2011,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2007,908,729,774.5,807.8,857.9,976.6,1094,1510,2159,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2008,1103,933,943.9,994.4,1046,1149,1219,1485,1860,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2009,1193,1045,1077,1123,1148,1261,1302,1492,1890,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2010,506,356,397.8,439.6,468.6,537.4,579,724.3,902,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2011,624.5,515,548.8,576.8,602.6,654.4,694.4,791.2,939,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2012,636,477,501.6,547.4,598.3,690.4,751.6,927.8,1200,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2013,635,504,543,571.6,600.6,708.4,734.4,872.5,1192,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2014,885,836,850.7,859.8,875.6,901,919.4,963.2,1053,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2015,1690,1559,1602,1643,1665,1731,1813,2163,2469,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2016,763.5,657,679.8,710,741.6,787.7,834.4,1039,1159,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2017,718.5,624,636,670.8,694.3,745,782.6,869,1005,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2018,653.5,540,570.8,601.6,627.7,693.4,745.6,932.2,1109,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2019,487,408,423.8,445.6,466,517,554.8,633.8,786,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2020,749.5,670,680.8,701,725.9,776,821.6,1067,1253,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2021,1822,1794,1799,1805,1812,1834,1850,1899,1925,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2022,972,872,881,911,937,1002,1052,1230,1722,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2023,966.5,929,935,950,959,982.8,1000,1086,1265,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
2024,983,944,948,954,964.6,1012,1063,1175,1502,e73a2e9a7dc86f2511fbd7d4e882d9d4fcf1595d
