winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,6,6,6,6,6,6,6,6,6,67188ed1f6aa2a397fda5438525776810fe19567
1993,8,8,8,8,8,8,8,8,8,67188ed1f6aa2a397fda5438525776810fe19567
1994,4,4,4,4,4,4,4,4,4,67188ed1f6aa2a397fda5438525776810fe19567
1995,6,6,6,6,6,6,6,6,6,67188ed1f6aa2a397fda5438525776810fe19567
1996,4,4,4,4,4,4,4,4,4,67188ed1f6aa2a397fda5438525776810fe19567
1997,2,2,2,2,2,2,2,2,2,67188ed1f6aa2a397fda5438525776810fe19567
1998,2,2,2,2,2,2,2,2,2,67188ed1f6aa2a397fda5438525776810fe19567
1999,4,4,4,4,4,4,4,4,4,67188ed1f6aa2a397fda5438525776810fe19567
2000,4,4,4,4,4,4,4,4,4,67188ed1f6aa2a397fda5438525776810fe19567
2001,8,8,8,8,8,8,8,8,8,67188ed1f6aa2a397fda5438525776810fe19567
2002,2,2,2,2,2,2,2,2,2,67188ed1f6aa2a397fda5438525776810fe19567
2003,4,4,4,4,4,4,4,4,4,67188ed1f6aa2a397fda5438525776810fe19567
2004,6,6,6,6,6,6,6,6.05,13,67188ed1f6aa2a397fda5438525776810fe19567
2005,5,5,5,5,5,5,5,7,12,67188ed1f6aa2a397fda5438525776810fe19567
2006,3,3,3,3,3,3,3,3,3,67188ed1f6aa2a397fda5438525776810fe19567
2007,6,6,6,6,6,6,6,6,6,67188ed1f6aa2a397fda5438525776810fe19567
2008,6,6,6,6,6,6,6,6,6,67188ed1f6aa2a397fda5438525776810fe19567
2009,5,5,5,5,5,5,5,5,5,67188ed1f6aa2a397fda5438525776810fe19567
2010,4,4,4,4,4,4,4,4,4,67188ed1f6aa2a397fda5438525776810fe19567
2011,5,5,5,5,5,5,5,5,5,67188ed1f6aa2a397fda5438525776810fe19567
2012,4,4,4,4,4,4,4,4,4,67188ed1f6aa2a397fda5438525776810fe19567
2013,5,5,5,5,5,5,5,5,5,67188ed1f6aa2a397fda5438525776810fe19567
2014,6,6,6,6,6,6,6,6,6,67188ed1f6aa2a397fda5438525776810fe19567
2015,2,2,2,2,2,2,2,2,2,67188ed1f6aa2a397fda5438525776810fe19567
2016,2,2,2,2,2,2,2,2,2,67188ed1f6aa2a397fda5438525776810fe19567
2017,3,3,3,3,3,3,3,3,3,67188ed1f6aa2a397fda5438525776810fe19567
2018,0,0,0,0,0,0,0,0,0,67188ed1f6aa2a397fda5438525776810fe19567
2019,1,1,1,1,1,1,1,1,1,67188ed1f6aa2a397fda5438525776810fe19567
2020,1,1,1,1,1,1,1,1,1,67188ed1f6aa2a397fda5438525776810fe19567
2021,1,1,1,1,1,1,1,1,1,67188ed1f6aa2a397fda5438525776810fe19567
2022,0,0,0,0,0,0,0,0,0,67188ed1f6aa2a397fda5438525776810fe19567
2023,1,1,1,1,1,1,1,1,1,67188ed1f6aa2a397fda5438525776810fe19567
2024,2,2,2,2,2,2,2,2,2,67188ed1f6aa2a397fda5438525776810fe19567
