winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2005,November,10,10,10,10,10,10,10,10,10,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2005,December,277,277,277,277,277,277,277,277,277,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2005,NA,320,320,320,320,320,320,320,320,320,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,January,327,327,327,327,327,327,327,327,327,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,November,8,8,8,8,8,8,8,8,8,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,December,210,210,210,210,210,210,210,210,210,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2006,NA,433,433,433,433,433,433,433,433,433,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,January,335,335,335,335,335,335,335,335,335,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,November,49,49,49,49,49,49,49,49,49,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,December,173,173,173,173,173,173,173,173,173,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2007,NA,241,241,241,241,241,241,241,241,241,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,January,323,323,323,323,323,323,323,323,323,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,November,56,56,56,56,56,56,56,56,56,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,December,214,214,214,214,214,214,214,214,214,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2008,NA,244,244,244,244,244,244,244,244,244,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,January,347,347,347,347,347,347,347,347,347,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,November,21,21,21,21,21,21,21,21,21,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,December,292,292,292,292,292,292,292,292,292,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2009,NA,284,284,284,284,284,284,284,284,284,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2010,January,486,486,486,486,486,486,486,486,486,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2010,November,15,15,15,15,15,15,15,15,15,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2010,December,224,224,224,224,224,224,224,224,224,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2010,NA,441,441,441,441,441,441,441,441,441,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2011,January,525,525,525,525,525,525,525,525,525,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2011,November,54,54,54,54,54,54,54,54,54,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2011,December,155,155,155,155,155,155,155,155,155,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2011,NA,346,346,346,346,346,346,346,346,346,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2012,January,351,351,351,351,351,351,351,351,351,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2012,November,17,17,17,17,17,17,17,17,17,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2012,December,97,97,97,97,97,97,97,97,97,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2012,NA,510,510,510,510,510,510,510,510,510,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2013,January,185,185,185,185,185,185,185,185,185,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2013,November,9,9,9,9,9,9,9,9,9,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2013,December,277,277,277,277,277,277,277,277,277,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2013,NA,130,130,130,130,130,130,130,130,130,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2014,January,220,220,220,220,220,220,220,220,220,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2014,November,22,22,22,22,22,22,22,22,22,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2014,December,177,177,177,177,177,177,177,177,177,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2014,NA,194,194,194,194,194,194,194,194,194,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2015,January,284,284,284,284,284,284,284,284,284,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2015,November,12,12,12,12,12,12,12,12,12,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2015,December,217,217,217,217,217,217,217,217,217,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2015,NA,266,266,266,266,266,266,266,266,266,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2016,January,300,300,300,300,300,300,300,300,300,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2016,November,6,6,6,6,6,6,6,6,6,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2016,December,98,98,98,98,98,98,98,98,98,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2016,NA,244,244,244,244,244,244,244,244,244,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2017,January,182,182,182,182,182,182,182,182,182,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2017,November,49,49,49,49,49,49,49,49,49,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2017,December,197,197,197,197,197,197,197,197,197,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2017,NA,227,227,227,227,227,227,227,227,227,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2018,January,336,336,336,336,336,336,336,336,336,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2018,November,76,76,76,76,76,76,76,76,76,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2018,December,173,173,173,173,173,173,173,173,173,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2018,NA,203,203,203,203,203,203,203,203,203,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2019,January,431,431,431,431,431,431,431,431,431,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2019,November,67,67,67,67,67,67,67,67,67,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2019,December,323,323,323,323,323,323,323,323,323,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2019,NA,375,375,375,375,375,375,375,375,375,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2020,January,268,268,268,268,268,268,268,268,268,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2020,November,59,59,59,59,59,59,59,59,59,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2020,December,209,209,209,209,209,209,209,209,209,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2020,NA,204,204,204,204,204,204,204,204,204,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2021,January,262,262,262,262,262,262,262,262,262,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2021,November,30,30,30,30,30,30,30,30,30,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2021,December,193,193,193,193,193,193,193,193,193,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2021,NA,286,286,286,286,286,286,286,286,286,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2022,January,350,350,350,350,350,350,350,350,350,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2022,November,49,49,49,49,49,49,49,49,49,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2022,December,241,241,241,241,241,241,241,241,241,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2022,NA,248,248,248,248,248,248,248,248,248,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2023,January,222,222,222,222,222,222,222,222,222,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2023,November,20,20,20,20,20,20,20,20,20,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2023,December,219,219,219,219,219,219,219,219,219,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2023,NA,224,224,224,224,224,224,224,224,224,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2024,January,395,395,395,395,395,395,395,395,395,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2024,November,91,91,91,91,91,91,91,91,91,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2024,December,335,335,335,335,335,335,335,335,335,560d7641c989bfa18468a669ba73c6d02e3b3f4f
2024,NA,308,308,308,308,308,308,308,308,308,560d7641c989bfa18468a669ba73c6d02e3b3f4f
1992,January,241,227,227,231.8,237,248.1,259.2,280.2,310,f645176aa8693976bb48bb567f382ed517c7ecd0
1992,November,14.5,6,6,8,11,19,31.2,50.1,85,f645176aa8693976bb48bb567f382ed517c7ecd0
1992,December,72,24,33.8,46,59.65,81,106.6,130.1,190,f645176aa8693976bb48bb567f382ed517c7ecd0
1992,NA,157,83,93.9,113.8,141,187,227,280.2,365,f645176aa8693976bb48bb567f382ed517c7ecd0
1993,January,346,209,229.8,267.6,310.6,376.4,414,523.6,656,f645176aa8693976bb48bb567f382ed517c7ecd0
1993,November,55,37,37,42.8,47,60.7,69,94.05,111,f645176aa8693976bb48bb567f382ed517c7ecd0
1993,December,145.5,74,95.7,120.6,132.6,168.4,201.8,250.1,281,f645176aa8693976bb48bb567f382ed517c7ecd0
