winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,7,7,7,7,7,7,9,11.05,14,e627a5a3050e2dd325803949ba29136a0ea5add1
2001,6,6,6,6,6,6,6,6,6,e627a5a3050e2dd325803949ba29136a0ea5add1
2002,457.5,445,445,445,451.6,462.4,471,482,535,e627a5a3050e2dd325803949ba29136a0ea5add1
2003,32.5,12,16,23.6,28,40,46,59.25,76,e627a5a3050e2dd325803949ba29136a0ea5add1
2004,16,6,8,10,14,20,24,35.05,58,e627a5a3050e2dd325803949ba29136a0ea5add1
2005,32,17,19,22,28,36,43,55.1,66,e627a5a3050e2dd325803949ba29136a0ea5add1
2006,23,8,10.9,15,19,26,31,37,53,e627a5a3050e2dd325803949ba29136a0ea5add1
2007,16,10,11,12.8,14,19,20.2,26.1,39,e627a5a3050e2dd325803949ba29136a0ea5add1
2008,18,15,15,16,17,20,24,31.05,45,e627a5a3050e2dd325803949ba29136a0ea5add1
2009,45,44,44,44,45,45,46,49,53,e627a5a3050e2dd325803949ba29136a0ea5add1
2010,43,43,43,43,43,43,43,43,43,e627a5a3050e2dd325803949ba29136a0ea5add1
2011,27,26,26,26,27,28,29.2,32,38,e627a5a3050e2dd325803949ba29136a0ea5add1
2012,20,20,20,20,20,20,20,20,20,e627a5a3050e2dd325803949ba29136a0ea5add1
2013,29,29,29,29,29,29,29,29,29,e627a5a3050e2dd325803949ba29136a0ea5add1
2014,16,16,16,16,16,16,19.2,29,35,e627a5a3050e2dd325803949ba29136a0ea5add1
2015,28,28,28,28,28,28,28,28,28,e627a5a3050e2dd325803949ba29136a0ea5add1
2016,30,30,30,30,30,30,30,30,46,e627a5a3050e2dd325803949ba29136a0ea5add1
2017,27,26,26,26,26,27,28,30,48,e627a5a3050e2dd325803949ba29136a0ea5add1
2018,29,28,28,28,28,29,29,30,31,e627a5a3050e2dd325803949ba29136a0ea5add1
2019,19,18,18,18,18,19,20,21,23,e627a5a3050e2dd325803949ba29136a0ea5add1
2020,17,16,16,16,17,18,21,26.05,30,e627a5a3050e2dd325803949ba29136a0ea5add1
2021,18,17,17,17,17,18,18,19,21,e627a5a3050e2dd325803949ba29136a0ea5add1
2022,21,21,21,21,21,22,22,24,25,e627a5a3050e2dd325803949ba29136a0ea5add1
2023,15,15,15,15,15,18,22,27,39,e627a5a3050e2dd325803949ba29136a0ea5add1
2024,27,27,27,27,27,27,28,28,29,e627a5a3050e2dd325803949ba29136a0ea5add1
