analysis,centre_start,centre_end,duration,estimate,se,lcl,ucl
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,1996,1,0.08083,0.9874,-1.854,2.016
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,1997,1,0.07929,1.413,-2.691,2.85
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,1998,1,0.06789,1.635,-3.137,3.273
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,1999,1,-0.02777,1.705,-3.37,3.314
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2000,1,-0.565,1.562,-3.626,2.496
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2001,1,-1.024,1.554,-4.07,2.023
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2002,1,-1.409,1.573,-4.492,1.674
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2003,1,-1.712,1.585,-4.819,1.395
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2004,1,-1.865,1.594,-4.989,1.258
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2005,1,-1.953,1.611,-5.111,1.205
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2006,1,-1.942,1.616,-5.108,1.224
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2007,1,-1.449,1.581,-4.548,1.651
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2008,1,-1.025,1.581,-4.124,2.074
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2009,1,-0.526,1.574,-3.61,2.558
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2010,1,-0.6584,1.594,-3.783,2.467
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2011,1,-0.6436,1.587,-3.753,2.466
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2012,1,0.1038,1.578,-2.989,3.197
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2013,1,0.6897,1.605,-2.456,3.835
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2014,1,0.5683,1.572,-2.513,3.649
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2015,1,0.1119,1.556,-2.938,3.161
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2016,1,-0.1605,1.577,-3.252,2.931
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2017,1,0.512,1.562,-2.55,3.574
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2018,1,1.143,1.595,-1.982,4.269
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2019,1,0.1079,1.565,-2.959,3.175
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2020,1,-0.3779,1.576,-3.466,2.71
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2021,1,-0.473,1.584,-3.577,2.631
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2022,1,-0.2358,1.588,-3.349,2.877
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2023,1,0.6232,1.578,-2.469,3.716
3359c8eb61dc95302f65ecf495a0f74655cd8126,1995,2024,1,1.748,1.662,-1.509,5.005
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,1997,1,-0.001522,1.009,-1.98,1.977
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,1998,1,-0.01291,1.345,-2.65,2.624
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,1999,1,-0.1086,1.457,-2.964,2.747
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2000,1,-0.6458,1.318,-3.228,1.937
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2001,1,-1.104,1.324,-3.7,1.491
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2002,1,-1.49,1.355,-4.146,1.167
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2003,1,-1.793,1.377,-4.491,0.9056
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2004,1,-1.946,1.389,-4.668,0.776
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2005,1,-2.034,1.414,-4.805,0.7374
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2006,1,-2.023,1.425,-4.816,0.7702
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2007,1,-1.529,1.371,-4.216,1.158
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2008,1,-1.106,1.366,-3.784,1.572
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2009,1,-0.6068,1.342,-3.238,2.024
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2010,1,-0.7392,1.366,-3.416,1.937
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2011,1,-0.7244,1.378,-3.426,1.977
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2012,1,0.02299,1.347,-2.618,2.664
3359c8eb61dc95302f65ecf495a0f74655cd8126,1996,2013,1,0.6089,1.368,-2.072,3.29
