winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2004,1,1,1,1,1,1,1,1,1,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2005,0,0,0,0,0,0,0,0,0,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2006,2,2,2,2,2,2,2,2,2,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2007,3,3,3,3,3,3,3,3,3,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2008,0,0,0,0,0,0,0,2,9,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2009,2,2,2,2,2,2,2,2,2,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2010,3,3,3,3,3,3,3,3,3,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2011,1,1,1,1,1,1,1,1,4,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2012,2,2,2,2,2,2,3,6.05,933900,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2013,1,1,1,1,1,1,1,1,1,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2014,1,1,1,1,1,1,1,2.05,33080,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2015,1,1,1,1,1,1,1.2,3,4,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2016,2,2,2,2,2,2,2,3,4,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2017,1,0,0,0,0,1,2,3,5739000,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2018,1,1,1,1,1,1,1,1,1,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2019,1,1,1,1,1,1,1,1,1,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2020,1,1,1,1,1,1,1,1,1,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2021,11,11,11,11,11,11,11,11,11,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2022,3,3,3,3,3,3,3,3,3,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2023,5,5,5,5,5,5,5,5,5,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
2024,3,3,3,3,3,3,3,3,3,f70b2765fbc1dbf618c50dda0c26d0436ec7aeb5
