analysis,winter,estimate,se,lcl,ucl
c40675ff98dc38da25281a2766396e8b894567ce,2019,-0.1965,0.3629,-0.9078,0.5148
c40675ff98dc38da25281a2766396e8b894567ce,2020,-0.2183,0.388,-0.9788,0.5423
c40675ff98dc38da25281a2766396e8b894567ce,2021,-0.2117,0.4111,-1.017,0.594
e1b9e4a20233f1fda74605185c66b8cf5591b477,1993,-2.02,0.5777,-3.152,-0.8874
e1b9e4a20233f1fda74605185c66b8cf5591b477,1994,-2.062,0.525,-3.091,-1.034
e1b9e4a20233f1fda74605185c66b8cf5591b477,1995,-2.103,0.4845,-3.053,-1.154
e1b9e4a20233f1fda74605185c66b8cf5591b477,1996,-2.141,0.4549,-3.032,-1.249
e1b9e4a20233f1fda74605185c66b8cf5591b477,1997,-2.175,0.4346,-3.027,-1.323
e1b9e4a20233f1fda74605185c66b8cf5591b477,1998,-2.206,0.4218,-3.033,-1.379
e1b9e4a20233f1fda74605185c66b8cf5591b477,1999,-2.232,0.4141,-3.044,-1.42
e1b9e4a20233f1fda74605185c66b8cf5591b477,2000,-2.253,0.41,-3.057,-1.45
e1b9e4a20233f1fda74605185c66b8cf5591b477,2001,-2.271,0.4082,-3.071,-1.471
e1b9e4a20233f1fda74605185c66b8cf5591b477,2002,-2.284,0.4078,-3.083,-1.484
e1b9e4a20233f1fda74605185c66b8cf5591b477,2003,-2.292,0.4081,-3.092,-1.492
e1b9e4a20233f1fda74605185c66b8cf5591b477,2004,-2.297,0.4091,-3.099,-1.495
e1b9e4a20233f1fda74605185c66b8cf5591b477,2005,-2.297,0.4098,-3.1,-1.494
e1b9e4a20233f1fda74605185c66b8cf5591b477,2006,-2.29,0.4089,-3.092,-1.489
e1b9e4a20233f1fda74605185c66b8cf5591b477,2007,-2.276,0.4057,-3.071,-1.481
e1b9e4a20233f1fda74605185c66b8cf5591b477,2008,-2.254,0.4004,-3.039,-1.47
e1b9e4a20233f1fda74605185c66b8cf5591b477,2009,-2.226,0.3939,-2.998,-1.454
e1b9e4a20233f1fda74605185c66b8cf5591b477,2010,-2.192,0.3877,-2.952,-1.433
e1b9e4a20233f1fda74605185c66b8cf5591b477,2011,-2.155,0.3832,-2.906,-1.404
e1b9e4a20233f1fda74605185c66b8cf5591b477,2012,-2.117,0.3815,-2.865,-1.37
e1b9e4a20233f1fda74605185c66b8cf5591b477,2013,-2.082,0.383,-2.833,-1.331
e1b9e4a20233f1fda74605185c66b8cf5591b477,2014,-2.049,0.3875,-2.808,-1.289
e1b9e4a20233f1fda74605185c66b8cf5591b477,2015,-2.018,0.3949,-2.792,-1.244
e1b9e4a20233f1fda74605185c66b8cf5591b477,2016,-1.99,0.406,-2.786,-1.194
e1b9e4a20233f1fda74605185c66b8cf5591b477,2017,-1.963,0.4222,-2.791,-1.136
e1b9e4a20233f1fda74605185c66b8cf5591b477,2018,-1.936,0.4449,-2.808,-1.064
e1b9e4a20233f1fda74605185c66b8cf5591b477,2019,-1.909,0.4757,-2.842,-0.9767
e1b9e4a20233f1fda74605185c66b8cf5591b477,2020,-1.884,0.5163,-2.896,-0.872
e1b9e4a20233f1fda74605185c66b8cf5591b477,2021,-1.859,0.5676,-2.971,-0.7464
f80886af64e9ce1cdb6f41221363c306a59dbd89,1993,0.04518,0.5027,-0.94,1.03
f80886af64e9ce1cdb6f41221363c306a59dbd89,1994,-0.00571,0.4451,-0.878,0.8666
f80886af64e9ce1cdb6f41221363c306a59dbd89,1995,-0.05342,0.4019,-0.841,0.7342
f80886af64e9ce1cdb6f41221363c306a59dbd89,1996,-0.09641,0.3715,-0.8246,0.6318
f80886af64e9ce1cdb6f41221363c306a59dbd89,1997,-0.1344,0.3514,-0.8232,0.5544
f80886af64e9ce1cdb6f41221363c306a59dbd89,1998,-0.1672,0.3385,-0.8307,0.4964
f80886af64e9ce1cdb6f41221363c306a59dbd89,1999,-0.194,0.3299,-0.8407,0.4527
f80886af64e9ce1cdb6f41221363c306a59dbd89,2000,-0.2155,0.3238,-0.8501,0.4192
f80886af64e9ce1cdb6f41221363c306a59dbd89,2001,-0.2331,0.3195,-0.8593,0.3932
f80886af64e9ce1cdb6f41221363c306a59dbd89,2002,-0.2466,0.3162,-0.8663,0.3731
f80886af64e9ce1cdb6f41221363c306a59dbd89,2003,-0.2569,0.3136,-0.8715,0.3577
f80886af64e9ce1cdb6f41221363c306a59dbd89,2004,-0.2657,0.3122,-0.8776,0.3463
f80886af64e9ce1cdb6f41221363c306a59dbd89,2005,-0.2715,0.3111,-0.8812,0.3381
f80886af64e9ce1cdb6f41221363c306a59dbd89,2006,-0.2728,0.3089,-0.8782,0.3325
f80886af64e9ce1cdb6f41221363c306a59dbd89,2007,-0.2687,0.3052,-0.867,0.3295
f80886af64e9ce1cdb6f41221363c306a59dbd89,2008,-0.2594,0.3007,-0.8487,0.33
f80886af64e9ce1cdb6f41221363c306a59dbd89,2009,-0.2457,0.2968,-0.8275,0.336
f80886af64e9ce1cdb6f41221363c306a59dbd89,2010,-0.2299,0.2952,-0.8085,0.3487
f80886af64e9ce1cdb6f41221363c306a59dbd89,2011,-0.2135,0.2969,-0.7955,0.3684
f80886af64e9ce1cdb6f41221363c306a59dbd89,2012,-0.1995,0.3019,-0.7912,0.3921
f80886af64e9ce1cdb6f41221363c306a59dbd89,2013,-0.1918,0.3085,-0.7965,0.4129
f80886af64e9ce1cdb6f41221363c306a59dbd89,2014,-0.189,0.317,-0.8102,0.4322
f80886af64e9ce1cdb6f41221363c306a59dbd89,2015,-0.1911,0.3279,-0.8339,0.4516
f80886af64e9ce1cdb6f41221363c306a59dbd89,2016,-0.1968,0.3432,-0.8695,0.476
f80886af64e9ce1cdb6f41221363c306a59dbd89,2017,-0.2044,0.3646,-0.919,0.5102
f80886af64e9ce1cdb6f41221363c306a59dbd89,2018,-0.2125,0.3935,-0.9836,0.5587
f80886af64e9ce1cdb6f41221363c306a59dbd89,2019,-0.2205,0.4309,-1.065,0.6241
f80886af64e9ce1cdb6f41221363c306a59dbd89,2020,-0.2292,0.4781,-1.166,0.7079
f80886af64e9ce1cdb6f41221363c306a59dbd89,2021,-0.2377,0.5355,-1.287,0.812
