analysis,winter,estimate,se,lcl,ucl
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1992,8.594,0.2794,8.047,9.142
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1993,8.791,0.2065,8.386,9.196
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1994,8.978,0.1597,8.665,9.291
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1995,9.149,0.1366,8.881,9.417
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1996,9.291,0.1304,9.036,9.547
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1997,9.381,0.1278,9.13,9.631
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1998,9.422,0.128,9.172,9.673
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,1999,9.446,0.132,9.188,9.705
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2000,9.463,0.1337,9.201,9.725
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2001,9.479,0.1299,9.224,9.733
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2002,9.484,0.1269,9.236,9.733
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2003,9.454,0.1283,9.203,9.706
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2004,9.379,0.1282,9.128,9.63
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2005,9.265,0.1258,9.019,9.512
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2006,9.123,0.123,8.882,9.364
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2007,8.954,0.1227,8.714,9.195
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2008,8.775,0.1275,8.525,9.024
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2009,8.602,0.133,8.342,8.863
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2010,8.449,0.1343,8.185,8.712
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2011,8.315,0.1317,8.057,8.573
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2012,8.194,0.1298,7.939,8.448
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2013,8.083,0.1289,7.831,8.336
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2014,7.989,0.1276,7.738,8.239
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2015,7.905,0.1267,7.657,8.154
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2016,7.827,0.127,7.578,8.076
041313fa590b2213b465ff1a9b5ac949dbb9c3ab,2017,7.752,0.1277,7.501,8.002
