winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,0,0,0,0,0,0,0,0,0,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
1993,0,0,0,0,0,0,0,0,0,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
1994,0,0,0,0,0,0,0,0,0,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
1995,0,0,0,0,0,0,0,0,0,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
1996,0,0,0,0,0,0,0,0,0,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
1997,11,0,0,2,6,17,33.4,58.35,81,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
1998,8.5,0,0,0,3.65,14.35,27.4,67.2,107,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
1999,11.5,0,0,0,2,31.35,51,103.3,170,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2000,630,630,630,630,630,630,630,630,630,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2001,8,8,8,8,8,8,8,8,8,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2002,9,9,9,9,9,9,9,9,9,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2003,130,130,130,130,130,130,130,130,130,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2004,230,230,230,230,230,230,230,230,230,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2005,245,245,245,245,245,245,245,245,245,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2006,43,43,43,43,43,43,43,43,43,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2007,680,680,680,680,680,680,680,680,680,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2008,11,11,11,11,11,11,11,11,11,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2009,19,19,19,19,19,19,19,19,19,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2010,86,86,86,86,86,86,86,86,86,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2011,23,23,23,23,23,23,23,23,23,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2012,27,27,27,27,27,27,27,27,27,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2013,32,32,32,32,32,32,32,32,32,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2014,10,10,10,10,10,10,10,10,10,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2015,1,1,1,1,1,1,1,1,1,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2016,0,0,0,0,0,0,0,0,0,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2017,16,16,16,16,16,16,16,16,16,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2018,4,4,4,4,4,4,4,4,4,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2019,6,6,6,6,6,6,6,6,6,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2020,13,13,13,13,13,13,13,13,13,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2021,5,5,5,5,5,5,5,5,5,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2022,3,3,3,3,3,3,3,3,3,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2023,1,1,1,1,1,1,1,1,1,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
2024,6,6,6,6,6,6,6,6,6,bc9a0f616c1ffedcce18a90b788edf2115e10dbc
