winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,86,86,86,86,86,87,90.2,99.25,141,f5b49487b2dd33b82076211143e366ed1c41d828
1993,23,18,18,18,19,28,36,52.1,93,f5b49487b2dd33b82076211143e366ed1c41d828
1994,44,17,21.9,29,36,53.35,69.2,95.4,158,f5b49487b2dd33b82076211143e366ed1c41d828
1995,189,189,189,189,189,190,192,195,207,f5b49487b2dd33b82076211143e366ed1c41d828
1996,179.5,171,171,172,174,183.7,197,216,296,f5b49487b2dd33b82076211143e366ed1c41d828
1997,70,65,65,65,66,74.35,83.2,102.1,178,f5b49487b2dd33b82076211143e366ed1c41d828
1998,43,36,36,37,39.65,47.35,63,91.05,156,f5b49487b2dd33b82076211143e366ed1c41d828
1999,152.5,147,147,148,150,156,165,175.2,219,f5b49487b2dd33b82076211143e366ed1c41d828
2000,95,87,87,89,91,100,108,132.2,176,f5b49487b2dd33b82076211143e366ed1c41d828
2001,47,45,45,45,46,48.35,52.2,60.1,75,f5b49487b2dd33b82076211143e366ed1c41d828
2002,59.5,58,58,58,58,61,64,73.1,79,f5b49487b2dd33b82076211143e366ed1c41d828
2003,96.5,95,95,95,96,99,102,106.1,128,f5b49487b2dd33b82076211143e366ed1c41d828
2004,48.5,45,45,46,47,50,53,58.05,71,f5b49487b2dd33b82076211143e366ed1c41d828
2005,57,57,57,57,57,57,57,57,67,f5b49487b2dd33b82076211143e366ed1c41d828
2006,76,72,72,73,74,77,81.2,99.2,125,f5b49487b2dd33b82076211143e366ed1c41d828
2007,61,58,58,59,59,62,65,70.05,83,f5b49487b2dd33b82076211143e366ed1c41d828
2008,76,73,73,74,75,78,81,88.05,104,f5b49487b2dd33b82076211143e366ed1c41d828
2009,191.5,183,183,185,188,197.4,205,226,325,f5b49487b2dd33b82076211143e366ed1c41d828
2010,52,24,31,40.8,46,63.35,76,101.3,138,f5b49487b2dd33b82076211143e366ed1c41d828
2011,63,45,45.95,51,56,71,80.2,95.55,139,f5b49487b2dd33b82076211143e366ed1c41d828
2012,86,78,78,80,82.65,91,97,126.4,141,f5b49487b2dd33b82076211143e366ed1c41d828
2013,151.5,137,139,143,146.6,156.4,166,191.2,234,f5b49487b2dd33b82076211143e366ed1c41d828
2014,60,60,60,60,60,63.35,72,94.05,113,f5b49487b2dd33b82076211143e366ed1c41d828
2015,93,79,80.95,85,90,98,108.4,140.1,190,f5b49487b2dd33b82076211143e366ed1c41d828
2016,110,110,110,110,110,110,110,110,122,f5b49487b2dd33b82076211143e366ed1c41d828
2017,94,86,86,87,91.65,98,105.2,124,171,f5b49487b2dd33b82076211143e366ed1c41d828
2018,76,76,76,76,76,76,76,76,76,f5b49487b2dd33b82076211143e366ed1c41d828
2019,108,108,108,108,108,108,111.2,145.1,207,f5b49487b2dd33b82076211143e366ed1c41d828
2020,123.5,117,117,117,120,130.4,140.2,161.1,213,f5b49487b2dd33b82076211143e366ed1c41d828
2021,164,164,164,164,164,164,172.2,203.5,270,f5b49487b2dd33b82076211143e366ed1c41d828
2022,116,116,116,116,116,116,116,116.3,144,f5b49487b2dd33b82076211143e366ed1c41d828
2023,151,151,151,151,151,151,151,151,151,f5b49487b2dd33b82076211143e366ed1c41d828
2024,319,319,319,319,319,319,319,319,319,f5b49487b2dd33b82076211143e366ed1c41d828
