winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,3,2,2,2,2,7,11,22,28,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2001,10,10,10,10,10,10,11,21.1,38,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2002,54,54,54,54,54,54,54,70.35,94,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2003,8,8,8,8,8,9,13,16.05,23,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2004,5,5,5,5,5,5,5,9.05,20,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2005,10,10,10,10,10,10,10,10,10,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2006,10,10,10,10,10,10,10,10,10,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2007,14,14,14,14,14,14,14,14,14,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2008,11,11,11,11,11,11,11,11,11,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2009,11,11,11,11,11,11,11,11,11,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2010,11,11,11,11,11,11,11,12,14,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2011,31,31,31,31,31,31,31,31,31,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2012,13,13,13,13,13,13,13,13,16,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2013,2,0,1,1,2,3,4,6,14,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2014,7,7,7,7,7,8,9,10.05,12,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2015,3,2,2,2,3,4,5,6,8,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2016,5,5,5,5,5,5,6,9,13,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2017,4,4,4,4,4,4,4,4,4,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2018,1,1,1,1,1,1,1,1,1,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2019,6,6,6,6,6,6,6,6,6,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2020,8,8,8,8,8,8,8,8,8,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2021,8,8,8,8,8,8,8,8,8,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2022,6,6,6,6,6,6,6,6,6,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2023,3,3,3,3,3,3,3,3,3,3ee4de8d8f2b977f777fb0a76c314a54df047b43
2024,3,3,3,3,3,3,3,3,3,3ee4de8d8f2b977f777fb0a76c314a54df047b43
