winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,2544,2544,2544,2544,2544,2544,2544,2557,3543,38f69d10b5b528fcf751a085122cde7dd2f0a939
2001,2439,2439,2439,2439,2439,2439,2439,2486,3665,38f69d10b5b528fcf751a085122cde7dd2f0a939
2002,1144,1098,1098,1098,1100,1204,1292,1615,2115,38f69d10b5b528fcf751a085122cde7dd2f0a939
2003,1831,1831,1831,1831,1831,1831,1831,1831,1831,38f69d10b5b528fcf751a085122cde7dd2f0a939
2004,2351,2351,2351,2351,2351,2351,2351,2351,2351,38f69d10b5b528fcf751a085122cde7dd2f0a939
2005,947,947,947,947,947,947,947,947,947,38f69d10b5b528fcf751a085122cde7dd2f0a939
2006,1010,1010,1010,1010,1010,1010,1010,1012,1057,38f69d10b5b528fcf751a085122cde7dd2f0a939
2007,2568,2568,2568,2568,2568,2568,2568,2568,2568,38f69d10b5b528fcf751a085122cde7dd2f0a939
2008,1159,1159,1159,1159,1159,1159,1159,1159,1159,38f69d10b5b528fcf751a085122cde7dd2f0a939
2009,1456,1456,1456,1456,1456,1456,1456,1475,1554,38f69d10b5b528fcf751a085122cde7dd2f0a939
2010,686,686,686,686,686,686,686,686,686,38f69d10b5b528fcf751a085122cde7dd2f0a939
2011,529,529,529,529,529,529,529,529,529,38f69d10b5b528fcf751a085122cde7dd2f0a939
2012,673,673,673,673,673,673,673,673,673,38f69d10b5b528fcf751a085122cde7dd2f0a939
2013,525,525,525,525,525,525,525,525,525,38f69d10b5b528fcf751a085122cde7dd2f0a939
2014,562,562,562,562,562,562,562,562,562,38f69d10b5b528fcf751a085122cde7dd2f0a939
2015,1039,1039,1039,1039,1039,1039,1039,1039,1039,38f69d10b5b528fcf751a085122cde7dd2f0a939
2016,594,594,594,594,594,594,594,594,594,38f69d10b5b528fcf751a085122cde7dd2f0a939
2017,504,503,503,503,503,509,515,568.2,644,38f69d10b5b528fcf751a085122cde7dd2f0a939
2018,1105,1105,1105,1105,1105,1105,1105,1105,1105,38f69d10b5b528fcf751a085122cde7dd2f0a939
2019,929,929,929,929,929,929,929,929,929,38f69d10b5b528fcf751a085122cde7dd2f0a939
2020,231,231,231,231,231,231,231,231,263,38f69d10b5b528fcf751a085122cde7dd2f0a939
2021,410,410,410,410,410,410,410,410,410,38f69d10b5b528fcf751a085122cde7dd2f0a939
2022,930,930,930,930,930,930,930,930,964,38f69d10b5b528fcf751a085122cde7dd2f0a939
2023,349,349,349,349,349,349,349,349,349,38f69d10b5b528fcf751a085122cde7dd2f0a939
2024,1051,1051,1051,1051,1051,1051,1051,1051,1051,38f69d10b5b528fcf751a085122cde7dd2f0a939
