winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,14,14,14,14,14,14,14,14,14,788fc180c687474cb17e074aa1d4eb6b244f1617
2001,13,13,13,13,13,13,13,13,13,788fc180c687474cb17e074aa1d4eb6b244f1617
2002,91,91,91,91,91,91,91,91,91,788fc180c687474cb17e074aa1d4eb6b244f1617
2003,9,9,9,9,9,9,9,9,9,788fc180c687474cb17e074aa1d4eb6b244f1617
2004,7,7,7,7,7,7,7,14,30,788fc180c687474cb17e074aa1d4eb6b244f1617
2005,23,23,23,23,23,23,23,23,23,788fc180c687474cb17e074aa1d4eb6b244f1617
2006,1,1,1,1,1,1,1,1,1,788fc180c687474cb17e074aa1d4eb6b244f1617
2007,0,0,0,0,0,0,0,0,0,788fc180c687474cb17e074aa1d4eb6b244f1617
2008,0,0,0,0,0,1,4,14,22,788fc180c687474cb17e074aa1d4eb6b244f1617
2009,8,2,2,3,5,10,13,20,29,788fc180c687474cb17e074aa1d4eb6b244f1617
2010,9,9,9,9,9,9,9,9,9,788fc180c687474cb17e074aa1d4eb6b244f1617
2011,4,4,4,4,4,4,4,12,16,788fc180c687474cb17e074aa1d4eb6b244f1617
2012,4,4,4,4,4,4,4,4,4,788fc180c687474cb17e074aa1d4eb6b244f1617
2013,4,4,4,4,4,4,4,7,14,788fc180c687474cb17e074aa1d4eb6b244f1617
2014,2,2,2,2,2,2,3,8,12,788fc180c687474cb17e074aa1d4eb6b244f1617
2015,0,0,0,0,0,0,0,0,0,788fc180c687474cb17e074aa1d4eb6b244f1617
2016,1,1,1,1,1,1,1,1,1,788fc180c687474cb17e074aa1d4eb6b244f1617
2017,0,0,0,0,0,0,0,0,0,788fc180c687474cb17e074aa1d4eb6b244f1617
2018,1,1,1,1,1,1,1,1,1,788fc180c687474cb17e074aa1d4eb6b244f1617
2019,1,1,1,1,1,1,1,1,1,788fc180c687474cb17e074aa1d4eb6b244f1617
2020,1,1,1,1,1,1,1,1,1,788fc180c687474cb17e074aa1d4eb6b244f1617
2021,0,0,0,0,0,0,0,0,0,788fc180c687474cb17e074aa1d4eb6b244f1617
2022,0,0,0,0,0,0,0,0,0,788fc180c687474cb17e074aa1d4eb6b244f1617
2023,0,0,0,0,0,0,0,0,0,788fc180c687474cb17e074aa1d4eb6b244f1617
2024,0,0,0,0,0,0,0,0,0,788fc180c687474cb17e074aa1d4eb6b244f1617
