winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,146,136,136,138,141.6,151.4,166.2,201.8,227,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
1993,189,168,169,174.8,182,201.7,230.2,279.4,329,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
1994,218.5,204,204,206.8,210.6,225.7,235,267.2,334,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
1995,466,453,453,457,461,473.4,487.8,514.1,551,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
1996,297,287,287,290,294,304.7,326,360.3,455,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
1997,275,235,235,244,254,292.4,326.2,394.5,478,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
1998,324,324,324,324,324,324,324,324,324,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
1999,199,199,199,199,199,199,199,199,199,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2000,481,481,481,481,481,481,481,481,481,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2001,224,204,204,204,204,238,281.8,386.2,487,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2002,269,268,268,268,268,300.7,328,536.2,847,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2003,245,245,245,245,245,245,245,245,245,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2004,238,238,238,238,238,238,269.2,334,384,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2005,351,351,351,351,351,351,351,351,351,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2006,339,339,339,339,339,339,339,339,339,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2007,382,367,367,367,370,398.4,415.2,533.3,630,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2008,495,495,495,495,495,495,495,495,495,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2009,519.5,508,508,511.8,515,530.7,553.8,624,696,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2010,412.5,408,408,408,409,418,427.4,447.2,492,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2011,784.5,754,754,762,771,797.1,818.6,892.2,961,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2012,600,577,577,579.8,588.6,619.4,656.6,721.2,873,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2013,611.5,561,565,578.8,593,624.7,650.6,681.7,710,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2014,722,718,718,718,718,726.4,736.2,754,793,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2015,695,695,695,695,695,695,695,695,695,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2016,470,470,470,470,470,470,470,470,470,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2017,514,514,514,514,514,514,514,514,514,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2018,390,390,390,390,390,390,390,390,390,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2019,459,459,459,459,459,459,459,459,459,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2020,617,617,617,617,617,617,617,617,617,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2021,555,555,555,555,555,555,555,555,555,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2022,384,384,384,384,384,384,384,384,384,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2023,487,487,487,487,487,487,487,487,487,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
2024,1034,1034,1034,1034,1034,1034,1034,1034,1034,d51869c29cfd98e1b12aa205e8a138a5bc1f7349
