winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,48,48,48,48,48,48,48,48,48,3d8616a6ffc026833d08c557b222567c7376ad10
1993,0,0,0,0,0,0,0,0,0,3d8616a6ffc026833d08c557b222567c7376ad10
1994,0,0,0,0,0,7.35,16.2,32.2,72,3d8616a6ffc026833d08c557b222567c7376ad10
1995,0,0,0,0,0,0,0,0,0,3d8616a6ffc026833d08c557b222567c7376ad10
1996,5.5,0,0,0,0,14,23,45.2,107,3d8616a6ffc026833d08c557b222567c7376ad10
1997,0,0,0,0,0,0,12.2,76.35,232,3d8616a6ffc026833d08c557b222567c7376ad10
1998,0,0,0,0,0,0,0,0,77,3d8616a6ffc026833d08c557b222567c7376ad10
1999,0,0,0,0,0,10.35,60.4,175.4,360,3d8616a6ffc026833d08c557b222567c7376ad10
2000,98,90,90,90,94,107.4,124.4,174.4,229,3d8616a6ffc026833d08c557b222567c7376ad10
2001,64,54,54,54,57,71,87.4,129,175,3d8616a6ffc026833d08c557b222567c7376ad10
2002,68.5,58,58,58,62,75.35,93.2,123,184,3d8616a6ffc026833d08c557b222567c7376ad10
2003,100.5,40,60.95,74.8,85.3,116.7,132.8,174.4,293,3d8616a6ffc026833d08c557b222567c7376ad10
2004,82,82,82,82,82,87,99,131,196,3d8616a6ffc026833d08c557b222567c7376ad10
2005,110,110,110,110,110,110,110.6,139.4,168,3d8616a6ffc026833d08c557b222567c7376ad10
2006,146,142,142,142,143,148,152,172.9,276,3d8616a6ffc026833d08c557b222567c7376ad10
2007,110,83,87.95,97,103,117,129.2,153,176,3d8616a6ffc026833d08c557b222567c7376ad10
2008,90,72,76.95,79.8,84,98.7,117.4,147.6,191,3d8616a6ffc026833d08c557b222567c7376ad10
2009,97,90,90.95,93,95,101,108,118,133,3d8616a6ffc026833d08c557b222567c7376ad10
2010,93,81,83,87,90,96,101.2,145.1,189,3d8616a6ffc026833d08c557b222567c7376ad10
2011,65,61,61,63,64,67,69,94.2,116,3d8616a6ffc026833d08c557b222567c7376ad10
2012,54,49,49,50.8,52.65,58,64,78.05,126,3d8616a6ffc026833d08c557b222567c7376ad10
2013,68,62,62,65,66,71,74.2,83.05,119,3d8616a6ffc026833d08c557b222567c7376ad10
2014,80,54,56,64,74,91.7,110.4,135.2,203,3d8616a6ffc026833d08c557b222567c7376ad10
2015,86,68,71.95,75,79.65,91,102,122.5,144,3d8616a6ffc026833d08c557b222567c7376ad10
2016,79,77,77,77,78,80,82,91.1,134,3d8616a6ffc026833d08c557b222567c7376ad10
2017,129.5,107,108,117,123,142.4,150.6,172.1,192,3d8616a6ffc026833d08c557b222567c7376ad10
2018,123,123,123,123,123,123,123,123,123,3d8616a6ffc026833d08c557b222567c7376ad10
2019,120,120,120,120,120,122,125,134,174,3d8616a6ffc026833d08c557b222567c7376ad10
2020,111,111,111,111,111,111,111,111.2,169,3d8616a6ffc026833d08c557b222567c7376ad10
2021,91,91,91,91,91,91,98.8,116.1,140,3d8616a6ffc026833d08c557b222567c7376ad10
2022,120,113,114,116,117,122,127,148,169,3d8616a6ffc026833d08c557b222567c7376ad10
2023,255,252,252,253,254,256.4,258,261,278,3d8616a6ffc026833d08c557b222567c7376ad10
2024,91,88,88,88,90,92,95,102,138,3d8616a6ffc026833d08c557b222567c7376ad10
