winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,2534,2534,2534,2534,2534,2534,2534,2534,2534,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2001,1103,1103,1103,1103,1103,1103,1103,1107,1890,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2002,280,280,280,280,280,375.9,555.8,935.4,1809,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2003,1303,1303,1303,1303,1303,1303,1303,1303,1303,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2004,736,736,736,736,736,736,736,736,736,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2005,163,163,163,163,163,163,163,163,163,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2006,775,775,775,775,775,775,775,775,775,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2007,539,539,539,539,539,539,539,539,539,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2008,339,339,339,339,339,339,339,339,339,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2009,672,672,672,672,672,672,672,676.6,951,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2010,501,501,501,501,501,501,502,527.1,554,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2011,412,412,412,412,412,412,412,412,412,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2012,208,208,208,208,208,208,208,208,208,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2013,346,346,346,346,346,346,346,346,346,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2014,354,354,354,354,354,354,354,354,354,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2015,907,907,907,907,907,907,907,907,1057,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2016,582,582,582,582,582,582,582,582,582,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2017,453,453,453,453,453,453,455,466.2,521,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2018,1091,1091,1091,1091,1091,1091,1091,1091,1091,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2019,889,889,889,889,889,889,889,889,889,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2020,231,231,231,231,231,231,231,231,231,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2021,243,243,243,243,243,243,243,243,243,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2022,922,922,922,922,922,922,922,922,922,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2023,291,291,291,291,291,291,291,291,291,0d8e532cf5332c20ca466e07c98488f2fe254ea5
2024,1001,1001,1001,1001,1001,1001,1001,1001,1001,0d8e532cf5332c20ca466e07c98488f2fe254ea5
