winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2011,5,3,3,3,4,6.35,8,11.05,19,17812296f31082bb9d5ea0585058d4bc1223a541
2012,14,9,9,11,12,15,18.2,25.05,51,17812296f31082bb9d5ea0585058d4bc1223a541
2013,10,5,6,7,9,11,13,17,19,17812296f31082bb9d5ea0585058d4bc1223a541
2014,19,17,17,18,18,19,19.2,21,24,17812296f31082bb9d5ea0585058d4bc1223a541
2015,40,37,37,38,39,40,41,42.05,47,17812296f31082bb9d5ea0585058d4bc1223a541
2016,49,46,46,48,48,50,51,54,61,17812296f31082bb9d5ea0585058d4bc1223a541
2017,43,42,42,42,43,44,45,46.05,48,17812296f31082bb9d5ea0585058d4bc1223a541
2018,31,31,31,31,31,32,32,33,35,17812296f31082bb9d5ea0585058d4bc1223a541
2019,40,40,40,40,40,40,40,40,40,17812296f31082bb9d5ea0585058d4bc1223a541
2020,25,24,24,24,24,25,25,27,29,17812296f31082bb9d5ea0585058d4bc1223a541
2021,61,60,60,60,60,62,63,65.05,74,17812296f31082bb9d5ea0585058d4bc1223a541
2022,42.5,40,40,41,42,43,44,46,49,17812296f31082bb9d5ea0585058d4bc1223a541
2023,53,51,51,52,53,54,55,57.05,61,17812296f31082bb9d5ea0585058d4bc1223a541
2024,39.5,33,34,35,37,42,45,54.05,90,17812296f31082bb9d5ea0585058d4bc1223a541
