winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,69.5,0,2,19.6,49,112.7,214.2,423.4,901,897e66acfa828c63075b30db5d2f5c6cd4389b59
1993,56.5,0,0,10.6,34,92,146.4,370.7,524,897e66acfa828c63075b30db5d2f5c6cd4389b59
1994,56.5,0,0,13,34,102.8,146.4,242,387,897e66acfa828c63075b30db5d2f5c6cd4389b59
1995,66,0,0,16.8,34.3,116.4,205.6,323.1,671,897e66acfa828c63075b30db5d2f5c6cd4389b59
1996,14,14,14,14,14,14,14,14,14,897e66acfa828c63075b30db5d2f5c6cd4389b59
1997,45,0,1,12,23,75.7,129.2,236.6,572,897e66acfa828c63075b30db5d2f5c6cd4389b59
1998,16.5,0,0,2.6,8.65,31,57.2,134.4,229,897e66acfa828c63075b30db5d2f5c6cd4389b59
1999,86,0,9.95,25.8,52.65,120.4,185.2,353.7,488,897e66acfa828c63075b30db5d2f5c6cd4389b59
2000,5,5,5,5,5,5,5,5,5,897e66acfa828c63075b30db5d2f5c6cd4389b59
2001,0,0,0,0,0,3.35,13.2,62.1,92,897e66acfa828c63075b30db5d2f5c6cd4389b59
2002,31,31,31,31,31,31,31,31,31,897e66acfa828c63075b30db5d2f5c6cd4389b59
2003,45,45,45,45,45,45,45,102,207,897e66acfa828c63075b30db5d2f5c6cd4389b59
2004,1,1,1,1,1,1,3.2,27.1,194,897e66acfa828c63075b30db5d2f5c6cd4389b59
2005,12,12,12,12,12,12,12,72.15,315,897e66acfa828c63075b30db5d2f5c6cd4389b59
2006,295,295,295,295,295,295,295,295,295,897e66acfa828c63075b30db5d2f5c6cd4389b59
2007,574,574,574,574,574,574,574,574,574,897e66acfa828c63075b30db5d2f5c6cd4389b59
2008,72,72,72,72,72,72,72,72,72,897e66acfa828c63075b30db5d2f5c6cd4389b59
2009,82,82,82,82,82,82,82,82,82,897e66acfa828c63075b30db5d2f5c6cd4389b59
2010,11,11,11,11,11,11,11,25.1,81,897e66acfa828c63075b30db5d2f5c6cd4389b59
2011,65,65,65,65,65,65,65,65,85,897e66acfa828c63075b30db5d2f5c6cd4389b59
2012,95,95,95,95,95,95,95,95,95,897e66acfa828c63075b30db5d2f5c6cd4389b59
2013,21,21,21,21,21,21,21,21,21,897e66acfa828c63075b30db5d2f5c6cd4389b59
2014,0,0,0,0,0,0,0,8,18,897e66acfa828c63075b30db5d2f5c6cd4389b59
2015,24,24,24,24,24,24,24,24,24,897e66acfa828c63075b30db5d2f5c6cd4389b59
2016,7,7,7,7,7,7,7,7,7,897e66acfa828c63075b30db5d2f5c6cd4389b59
2017,16,16,16,16,16,16,16,16,35,897e66acfa828c63075b30db5d2f5c6cd4389b59
2018,3,3,3,3,3,3,3,6,54,897e66acfa828c63075b30db5d2f5c6cd4389b59
2019,2,2,2,2,2,2,2,3.15,27,897e66acfa828c63075b30db5d2f5c6cd4389b59
2020,0,0,0,0,0,0,0,40.4,150,897e66acfa828c63075b30db5d2f5c6cd4389b59
2021,11,11,11,11,11,11,11,24,146,897e66acfa828c63075b30db5d2f5c6cd4389b59
2022,0,0,0,0,0,0,0,0,6,897e66acfa828c63075b30db5d2f5c6cd4389b59
2023,0,0,0,0,0,0,0,37.75,109,897e66acfa828c63075b30db5d2f5c6cd4389b59
2024,2,2,2,2,2,2,2,31,64,897e66acfa828c63075b30db5d2f5c6cd4389b59
