analysis,winter,estimate,se,lcl,ucl
11f85275d318a8d7d7cce758f952ec07aeee3044,1992,-1.159,0.6663,-2.465,0.1469
11f85275d318a8d7d7cce758f952ec07aeee3044,1993,-1.227,0.6286,-2.459,0.005471
11f85275d318a8d7d7cce758f952ec07aeee3044,1994,-0.1954,0.4425,-1.063,0.6719
11f85275d318a8d7d7cce758f952ec07aeee3044,1995,0.04426,0.4116,-0.7624,0.8509
11f85275d318a8d7d7cce758f952ec07aeee3044,1996,-1.224,0.6235,-2.446,-0.002201
11f85275d318a8d7d7cce758f952ec07aeee3044,1997,-1.401,0.6409,-2.657,-0.145
11f85275d318a8d7d7cce758f952ec07aeee3044,1998,-1.199,0.6279,-2.429,0.03204
11f85275d318a8d7d7cce758f952ec07aeee3044,1999,0.1117,0.4066,-0.6853,0.9086
11f85275d318a8d7d7cce758f952ec07aeee3044,2000,-0.01972,0.4224,-0.8476,0.8082
11f85275d318a8d7d7cce758f952ec07aeee3044,2001,-0.3027,0.4825,-1.248,0.643
11f85275d318a8d7d7cce758f952ec07aeee3044,2002,0.1618,0.4071,-0.636,0.9597
11f85275d318a8d7d7cce758f952ec07aeee3044,2003,0.4931,0.3821,-0.2559,1.242
11f85275d318a8d7d7cce758f952ec07aeee3044,2004,0.1199,0.4397,-0.742,0.9817
11f85275d318a8d7d7cce758f952ec07aeee3044,2005,0.5778,0.3885,-0.1837,1.339
11f85275d318a8d7d7cce758f952ec07aeee3044,2006,-0.1534,0.4303,-0.9968,0.69
11f85275d318a8d7d7cce758f952ec07aeee3044,2007,-1.261,0.5711,-2.381,-0.1418
11f85275d318a8d7d7cce758f952ec07aeee3044,2008,-1.786,0.6285,-3.018,-0.5543
11f85275d318a8d7d7cce758f952ec07aeee3044,2009,-2.166,0.6742,-3.488,-0.8451
11f85275d318a8d7d7cce758f952ec07aeee3044,2010,-2.612,0.7482,-4.079,-1.146
11f85275d318a8d7d7cce758f952ec07aeee3044,2011,-3.317,0.8978,-5.077,-1.558
11f85275d318a8d7d7cce758f952ec07aeee3044,2012,-3.806,1.015,-5.795,-1.816
11f85275d318a8d7d7cce758f952ec07aeee3044,2013,-4.15,1.099,-6.305,-1.995
11f85275d318a8d7d7cce758f952ec07aeee3044,2014,-4.384,1.155,-6.648,-2.121
11f85275d318a8d7d7cce758f952ec07aeee3044,2015,-4.527,1.185,-6.85,-2.204
11f85275d318a8d7d7cce758f952ec07aeee3044,2016,-4.588,1.193,-6.925,-2.25
11f85275d318a8d7d7cce758f952ec07aeee3044,2017,-4.57,1.18,-6.882,-2.257
11f85275d318a8d7d7cce758f952ec07aeee3044,2018,-4.471,1.151,-6.727,-2.214
11f85275d318a8d7d7cce758f952ec07aeee3044,2019,-4.283,1.114,-6.466,-2.099
11f85275d318a8d7d7cce758f952ec07aeee3044,2020,-3.989,1.089,-6.123,-1.854
11f85275d318a8d7d7cce758f952ec07aeee3044,2021,-3.55,1.134,-5.772,-1.328
1e3a6b98cb184662aef212da620dd3d3f9fc37ba,1992,0.2455,0.6035,-0.9373,1.428
1e3a6b98cb184662aef212da620dd3d3f9fc37ba,1993,0.3894,0.4836,-0.5585,1.337
