winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1995,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1996,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1996,March,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1996,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1996,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1996,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1996,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1997,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1997,March,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1997,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1997,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1997,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1997,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1998,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1998,March,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1998,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1998,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1998,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1998,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1999,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1999,March,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1999,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1999,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1999,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
1999,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2000,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2000,March,64,64,64,64,64,64,64,64,64,f097c112c8886af280c7b42271a853ecf1acdc10
2000,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2000,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2000,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2000,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2001,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2001,March,36,36,36,36,36,36,36,36,36,f097c112c8886af280c7b42271a853ecf1acdc10
2001,October,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2001,November,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2001,December,1,1,1,1,1,1,1,1,1,f097c112c8886af280c7b42271a853ecf1acdc10
2001,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2002,January,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2002,March,18,18,18,18,18,18,18,18,18,f097c112c8886af280c7b42271a853ecf1acdc10
2002,October,2,2,2,2,2,2,2,2,2,f097c112c8886af280c7b42271a853ecf1acdc10
2002,November,1,1,1,1,1,1,1,1,1,f097c112c8886af280c7b42271a853ecf1acdc10
2002,December,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
2002,NA,0,0,0,0,0,0,0,0,0,f097c112c8886af280c7b42271a853ecf1acdc10
