analysis,centre_winter,duration,estimate,se,lcl,ucl
427aeb898db0c932496fd44efcccc47bc77620cb,2012,5,0.7819,0.347,0.1018,1.462
427aeb898db0c932496fd44efcccc47bc77620cb,2013,5,0.6842,0.3861,-0.07258,1.441
427aeb898db0c932496fd44efcccc47bc77620cb,2014,5,0.5517,0.4716,-0.3726,1.476
427aeb898db0c932496fd44efcccc47bc77620cb,2015,5,0.4089,0.5859,-0.7395,1.557
427aeb898db0c932496fd44efcccc47bc77620cb,2016,5,0.3166,0.6567,-0.9705,1.604
427aeb898db0c932496fd44efcccc47bc77620cb,2017,5,0.2787,0.6724,-1.039,1.597
427aeb898db0c932496fd44efcccc47bc77620cb,2018,5,0.2923,0.6366,-0.9554,1.54
427aeb898db0c932496fd44efcccc47bc77620cb,2019,5,0.3623,0.5491,-0.7139,1.439
427aeb898db0c932496fd44efcccc47bc77620cb,2020,5,0.3931,0.5161,-0.6183,1.405
427aeb898db0c932496fd44efcccc47bc77620cb,2021,5,0.4128,0.5043,-0.5755,1.401
427aeb898db0c932496fd44efcccc47bc77620cb,2022,5,0.4253,0.513,-0.5801,1.431
427aeb898db0c932496fd44efcccc47bc77620cb,2002.5,10,1.085,0.3322,0.4339,1.736
427aeb898db0c932496fd44efcccc47bc77620cb,2003.5,10,1.034,0.3287,0.3896,1.678
427aeb898db0c932496fd44efcccc47bc77620cb,2004.5,10,0.9911,0.3282,0.3478,1.634
427aeb898db0c932496fd44efcccc47bc77620cb,2005.5,10,0.9445,0.3332,0.2914,1.598
427aeb898db0c932496fd44efcccc47bc77620cb,2006.5,10,0.9168,0.3282,0.2735,1.56
427aeb898db0c932496fd44efcccc47bc77620cb,2007.5,10,0.8854,0.3255,0.2474,1.523
427aeb898db0c932496fd44efcccc47bc77620cb,2008.5,10,0.8323,0.3343,0.1771,1.487
427aeb898db0c932496fd44efcccc47bc77620cb,2009.5,10,0.7612,0.3599,0.05576,1.467
427aeb898db0c932496fd44efcccc47bc77620cb,2010.5,10,0.7033,0.3797,-0.04085,1.448
427aeb898db0c932496fd44efcccc47bc77620cb,2011.5,10,0.6529,0.3971,-0.1254,1.431
427aeb898db0c932496fd44efcccc47bc77620cb,2012.5,10,0.6142,0.4058,-0.1812,1.409
427aeb898db0c932496fd44efcccc47bc77620cb,2013.5,10,0.5743,0.4196,-0.248,1.397
427aeb898db0c932496fd44efcccc47bc77620cb,2014.5,10,0.5309,0.4404,-0.3323,1.394
427aeb898db0c932496fd44efcccc47bc77620cb,2015.5,10,0.4887,0.4623,-0.4174,1.395
427aeb898db0c932496fd44efcccc47bc77620cb,2016.5,10,0.4572,0.4733,-0.4705,1.385
427aeb898db0c932496fd44efcccc47bc77620cb,2017.5,10,0.4014,0.5112,-0.6007,1.403
427aeb898db0c932496fd44efcccc47bc77620cb,2018.5,10,0.3653,0.5337,-0.6807,1.411
427aeb898db0c932496fd44efcccc47bc77620cb,2019.5,10,0.3526,0.5378,-0.7015,1.407
