winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1994,2,2,2,2,2,2,2,2,2,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
1995,4,4,4,4,4,4,4,4,6,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
1996,4,3,3,3,3,5,6.2,8.05,11,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
1997,3,3,3,3,3,4,5,9,14,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
1998,3,3,3,3,3,3,3,3,3,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
1999,9,9,9,9,9,10,11.2,16,18,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2000,8,8,8,8,8,9,10,13,18,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2001,11,11,11,11,11,11,11,12.05,14,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2002,13,13,13,13,13,13,13,13,13,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2003,9,8,8,8,8,10,11,14,16,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2004,14,14,14,14,14,14,14,14,14,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2005,6,6,6,6,6,6,6,7,10,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2006,13,13,13,13,13,13,13,13,13,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2007,4,4,4,4,4,4,4,4,4,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2008,9,9,9,9,9,9,9,9,9,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2009,4,3,3,3,3,5,6,9.1,12,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2010,4,3,3,3,3,4,5,6.05,8,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2011,5,4,4,4,5,6,7,8,11,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2012,11,10,10,10,11,12,12,14.05,19,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2013,6,5,5,5,5,7,7,8.05,11,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2014,4,3,3,4,4,5,6,7,8,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2015,9,8,8,8,8.65,10,10,12,12,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2016,7,7,7,7,7,7,7,7,8,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2017,7,7,7,7,7,7,7,7,7,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2018,6,6,6,6,6,6,6,6,6,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2019,22,22,22,22,22,22,22,22,22,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2020,11,11,11,11,11,11,11,11,11,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2021,11,11,11,11,11,11,11,11,11,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2022,6,6,6,6,6,6,6,6,6,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2023,10,10,10,10,10,10,10,10,10,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
2024,9,9,9,9,9,9,9,9,9,fa85b804bc0de2a6ae30a9817b789fc5acd33b35
