winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2005,NA,3262,3134,3176,3220,3238,3290,3356,3422,3554,1bc0798663495e5afe48953c5babb6343e23a37e
2006,January,2111,2053,2064,2082,2097,2136,2152,2212,2369,1bc0798663495e5afe48953c5babb6343e23a37e
2006,November,2251,2150,2169,2193,2223,2283,2345,2461,2960,1bc0798663495e5afe48953c5babb6343e23a37e
2006,December,2496,2435,2448,2465,2477,2536,2571,2638,2688,1bc0798663495e5afe48953c5babb6343e23a37e
2006,NA,2968,2849,2882,2910,2935,2999,3032,3113,3518,1bc0798663495e5afe48953c5babb6343e23a37e
2007,January,2600,2534,2546,2560,2580,2619,2635,2682,2797,1bc0798663495e5afe48953c5babb6343e23a37e
2007,November,2420,2388,2392,2398,2409,2429,2448,2492,2655,1bc0798663495e5afe48953c5babb6343e23a37e
2007,December,3583,3508,3526,3552,3569,3597,3619,3680,3840,1bc0798663495e5afe48953c5babb6343e23a37e
2007,NA,3535,3440,3460,3485,3516,3568,3624,3732,3873,1bc0798663495e5afe48953c5babb6343e23a37e
2008,January,1520,1478,1491,1500,1509,1536,1551,1607,1858,1bc0798663495e5afe48953c5babb6343e23a37e
2008,November,1282,1240,1248,1261,1267,1296,1312,1349,1457,1bc0798663495e5afe48953c5babb6343e23a37e
2008,December,1686,1627,1637,1656,1674,1706,1723,1771,1886,1bc0798663495e5afe48953c5babb6343e23a37e
2008,NA,2396,2372,2377,2385,2391,2410,2436,2493,2656,1bc0798663495e5afe48953c5babb6343e23a37e
2009,January,747.5,690,700,716,729,765,795.2,880.5,982,1bc0798663495e5afe48953c5babb6343e23a37e
2009,November,1083,1073,1074,1076,1078,1090,1100,1120,1400,1bc0798663495e5afe48953c5babb6343e23a37e
2009,December,1066,1023,1034,1050,1058,1084,1101,1162,1182,1bc0798663495e5afe48953c5babb6343e23a37e
2009,NA,2498,2309,2364,2404,2451,2557,2663,3013,4078,1bc0798663495e5afe48953c5babb6343e23a37e
2010,January,974,906,916.9,935.6,951.3,998.4,1021,1091,1142,1bc0798663495e5afe48953c5babb6343e23a37e
2010,November,587,549,557,569,575.6,600,621.2,660.7,729,1bc0798663495e5afe48953c5babb6343e23a37e
2010,December,1858,1813,1825,1835,1849,1872,1898,1935,2055,1bc0798663495e5afe48953c5babb6343e23a37e
2010,NA,1590,1361,1417,1458,1516,1638,1734,1876,2931,1bc0798663495e5afe48953c5babb6343e23a37e
2011,January,1637,1570,1585,1600,1615,1664,1691,1762,1829,1bc0798663495e5afe48953c5babb6343e23a37e
2011,November,516,472,481,492,504,529,557.4,589.4,709,1bc0798663495e5afe48953c5babb6343e23a37e
2011,December,845.5,726,764,783.4,815,864.4,899,958,1071,1bc0798663495e5afe48953c5babb6343e23a37e
2011,NA,2698,2599,2612,2643,2673,2729,2762,2811,3035,1bc0798663495e5afe48953c5babb6343e23a37e
2012,January,2318,2249,2263,2282,2297,2342,2370,2441,2624,1bc0798663495e5afe48953c5babb6343e23a37e
2012,November,688,668,670,675,681.6,696.4,708,728.1,779,1bc0798663495e5afe48953c5babb6343e23a37e
2012,December,983.5,936,942.9,956.8,973,1000,1026,1070,1116,1bc0798663495e5afe48953c5babb6343e23a37e
2012,NA,1870,1784,1815,1832,1850,1910,1947,2043,2122,1bc0798663495e5afe48953c5babb6343e23a37e
2013,January,2229,2187,2191,2206,2218,2247,2274,2331,2419,1bc0798663495e5afe48953c5babb6343e23a37e
2013,November,693,661,668,677.6,689,702.4,719,757,809,1bc0798663495e5afe48953c5babb6343e23a37e
2013,December,842,815,816,824,833.6,852,865,899.6,1127,1bc0798663495e5afe48953c5babb6343e23a37e
2013,NA,2102,2008,2032,2048,2072,2129,2161,2240,2427,1bc0798663495e5afe48953c5babb6343e23a37e
2014,January,2456,2379,2396,2416,2434,2468,2501,2567,2691,1bc0798663495e5afe48953c5babb6343e23a37e
2014,November,1176,1126,1132,1149,1164,1212,1267,1361,1467,1bc0798663495e5afe48953c5babb6343e23a37e
2014,December,1280,1251,1252,1264,1270,1295,1320,1360,1388,1bc0798663495e5afe48953c5babb6343e23a37e
2014,NA,2696,2606,2620,2645,2669,2714,2763,2908,3048,1bc0798663495e5afe48953c5babb6343e23a37e
2015,January,1556,1496,1508,1525,1540,1572,1600,1660,1873,1bc0798663495e5afe48953c5babb6343e23a37e
2015,November,1222,1187,1191,1198,1210,1248,1270,1311,1371,1bc0798663495e5afe48953c5babb6343e23a37e
2015,December,1330,1296,1304,1314,1320,1341,1353,1392,1509,1bc0798663495e5afe48953c5babb6343e23a37e
2015,NA,2682,2650,2653,2663,2670,2694,2707,2764,2949,1bc0798663495e5afe48953c5babb6343e23a37e
2016,January,1720,1678,1680,1693,1704,1742,1765,1847,2103,1bc0798663495e5afe48953c5babb6343e23a37e
2016,November,1028,979,986,999,1011,1038,1064,1134,1312,1bc0798663495e5afe48953c5babb6343e23a37e
2016,December,1322,1300,1306,1310,1315,1331,1347,1391,1519,1bc0798663495e5afe48953c5babb6343e23a37e
2016,NA,2062,1961,1976,2005,2031,2090,2140,2283,2407,1bc0798663495e5afe48953c5babb6343e23a37e
2017,January,1160,1144,1145,1150,1154,1171,1186,1235,1292,1bc0798663495e5afe48953c5babb6343e23a37e
2017,November,1200,1186,1186,1188,1193,1206,1220,1243,1280,1bc0798663495e5afe48953c5babb6343e23a37e
2017,December,1123,1113,1114,1117,1120,1128,1138,1151,1256,1bc0798663495e5afe48953c5babb6343e23a37e
2017,NA,2174,2075,2090,2120,2148,2202,2251,2391,2476,1bc0798663495e5afe48953c5babb6343e23a37e
2018,January,2668,2647,2647,2651,2658,2689,2709,2772,3091,1bc0798663495e5afe48953c5babb6343e23a37e
2018,November,1317,1284,1286,1298,1306,1330,1355,1392,1432,1bc0798663495e5afe48953c5babb6343e23a37e
2018,December,1636,1601,1601,1614,1624,1655,1689,1728,1782,1bc0798663495e5afe48953c5babb6343e23a37e
2018,NA,2096,2002,2021,2044,2068,2130,2174,2258,2435,1bc0798663495e5afe48953c5babb6343e23a37e
2019,January,1590,1562,1569,1576,1580,1603,1623,1691,1881,1bc0798663495e5afe48953c5babb6343e23a37e
2019,November,1044,1027,1027,1032,1035,1055,1079,1120,1246,1bc0798663495e5afe48953c5babb6343e23a37e
2019,December,1400,1392,1392,1392,1396,1407,1424,1453,1523,1bc0798663495e5afe48953c5babb6343e23a37e
2019,NA,2289,2258,2263,2269,2279,2298,2317,2386,2460,1bc0798663495e5afe48953c5babb6343e23a37e
2020,January,2110,2055,2064,2081,2100,2128,2146,2257,2487,1bc0798663495e5afe48953c5babb6343e23a37e
2020,November,1280,1266,1266,1271,1275,1293,1323,1354,1446,1bc0798663495e5afe48953c5babb6343e23a37e
2020,December,1518,1458,1460,1479,1495,1549,1599,1669,1832,1bc0798663495e5afe48953c5babb6343e23a37e
2020,NA,2345,2209,2237,2279,2308,2373,2411,2552,2597,1bc0798663495e5afe48953c5babb6343e23a37e
2021,January,1396,1359,1361,1368,1376,1412,1444,1501,1625,1bc0798663495e5afe48953c5babb6343e23a37e
2021,November,1249,1224,1224,1232,1240,1261,1281,1352,1538,1bc0798663495e5afe48953c5babb6343e23a37e
2021,December,1742,1696,1700,1712,1726,1768,1817,1946,2168,1bc0798663495e5afe48953c5babb6343e23a37e
2021,NA,3010,2917,2929,2955,2972,3038,3082,3183,3594,1bc0798663495e5afe48953c5babb6343e23a37e
2022,January,1718,1623,1628,1658,1686,1744,1800,1895,1965,1bc0798663495e5afe48953c5babb6343e23a37e
2022,November,1179,1155,1157,1163,1173,1188,1199,1251,1346,1bc0798663495e5afe48953c5babb6343e23a37e
2022,December,2075,2061,2061,2064,2069,2090,2112,2157,2320,1bc0798663495e5afe48953c5babb6343e23a37e
2022,NA,2046,1994,2007,2019,2034,2057,2088,2142,2199,1bc0798663495e5afe48953c5babb6343e23a37e
2023,January,2030,2011,2011,2014,2018,2043,2071,2107,2133,1bc0798663495e5afe48953c5babb6343e23a37e
2023,November,853,841,841,842,847,862.4,878.6,914,938,1bc0798663495e5afe48953c5babb6343e23a37e
2023,December,1176,1072,1083,1115,1145,1238,1288,1595,1993,1bc0798663495e5afe48953c5babb6343e23a37e
2023,NA,2217,2193,2194,2200,2206,2227,2243,2285,2363,1bc0798663495e5afe48953c5babb6343e23a37e
2024,January,2704,2495,2541,2584,2640,2775,2903,3328,3823,1bc0798663495e5afe48953c5babb6343e23a37e
2024,November,2089,2089,2089,2089,2089,2089,2089,2092,2111,1bc0798663495e5afe48953c5babb6343e23a37e
2024,December,3119,3081,3084,3096,3105,3145,3181,3258,3365,1bc0798663495e5afe48953c5babb6343e23a37e
2024,NA,2804,2704,2720,2751,2786,2856,2902,3021,3203,1bc0798663495e5afe48953c5babb6343e23a37e
1992,January,1426,1426,1426,1426,1426,1426,1426,1426,1426,a9c61fce9fa6319725c401005677845b30d90c12
1992,November,1522,1522,1522,1522,1522,1522,1522,1522,1522,a9c61fce9fa6319725c401005677845b30d90c12
1992,December,1303,1303,1303,1303,1303,1303,1303,1303,1303,a9c61fce9fa6319725c401005677845b30d90c12
1992,NA,1908,1908,1908,1908,1908,1908,1908,1908,1908,a9c61fce9fa6319725c401005677845b30d90c12
1993,January,3077,3077,3077,3077,3077,3077,3077,3077,3077,a9c61fce9fa6319725c401005677845b30d90c12
1993,November,2271,2271,2271,2271,2271,2271,2271,2271,2271,a9c61fce9fa6319725c401005677845b30d90c12
1993,December,2869,2869,2869,2869,2869,2869,2869,2869,2869,a9c61fce9fa6319725c401005677845b30d90c12
1993,NA,2912,2912,2912,2912,2912,2912,2912,2912,2912,a9c61fce9fa6319725c401005677845b30d90c12
1994,January,2797,2797,2797,2797,2797,2797,2797,2797,2797,a9c61fce9fa6319725c401005677845b30d90c12
1994,November,2470,2470,2470,2470,2470,2470,2470,2470,2470,a9c61fce9fa6319725c401005677845b30d90c12
1994,December,3156,3156,3156,3156,3156,3156,3156,3156,3156,a9c61fce9fa6319725c401005677845b30d90c12
1994,NA,2794,2794,2794,2794,2794,2794,2794,2794,2794,a9c61fce9fa6319725c401005677845b30d90c12
1995,January,2324,2324,2324,2324,2324,2324,2324,2324,2324,a9c61fce9fa6319725c401005677845b30d90c12
1995,November,1386,1386,1386,1386,1386,1386,1386,1386,1386,a9c61fce9fa6319725c401005677845b30d90c12
1995,December,1572,1572,1572,1572,1572,1572,1572,1572,1572,a9c61fce9fa6319725c401005677845b30d90c12
1995,NA,2464,2464,2464,2464,2464,2464,2464,2464,2464,a9c61fce9fa6319725c401005677845b30d90c12
1996,January,3010,3010,3010,3010,3010,3010,3010,3010,3010,a9c61fce9fa6319725c401005677845b30d90c12
1996,November,2100,2100,2100,2100,2100,2100,2100,2100,2100,a9c61fce9fa6319725c401005677845b30d90c12
1996,December,3143,3143,3143,3143,3143,3143,3143,3143,3143,a9c61fce9fa6319725c401005677845b30d90c12
1996,NA,1532,1532,1532,1532,1532,1532,1532,1532,1532,a9c61fce9fa6319725c401005677845b30d90c12
1997,January,1531,1531,1531,1531,1531,1531,1531,1531,1531,a9c61fce9fa6319725c401005677845b30d90c12
1997,November,984,984,984,984,984,984,984,984,984,a9c61fce9fa6319725c401005677845b30d90c12
1997,December,1099,1099,1099,1099,1099,1099,1099,1099,1099,a9c61fce9fa6319725c401005677845b30d90c12
1997,NA,1959,1959,1959,1959,1959,1959,1959,1959,1959,a9c61fce9fa6319725c401005677845b30d90c12
1998,January,2999,2999,2999,2999,2999,2999,2999,2999,2999,a9c61fce9fa6319725c401005677845b30d90c12
1998,November,1707,1707,1707,1707,1707,1707,1707,1707,1707,a9c61fce9fa6319725c401005677845b30d90c12
1998,December,2257,2257,2257,2257,2257,2257,2257,2257,2257,a9c61fce9fa6319725c401005677845b30d90c12
1998,NA,3391,3391,3391,3391,3391,3391,3391,3391,3391,a9c61fce9fa6319725c401005677845b30d90c12
