winter,month,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,January,2633,2633,2633,2633,2633,2633,2633,2633,2633,1874a173724f899eaab098e9c00b3c6ea3f9161f
2000,November,2000,2000,2000,2000,2000,2000,2000,2000,2000,1874a173724f899eaab098e9c00b3c6ea3f9161f
2000,December,5150,5150,5150,5150,5150,5150,5150,5150,5150,1874a173724f899eaab098e9c00b3c6ea3f9161f
2000,NA,4553,4553,4553,4553,4553,4553,4553,4553,4553,1874a173724f899eaab098e9c00b3c6ea3f9161f
2001,January,1433,1379,1379,1382,1395,1582,1774,2056,2810,1874a173724f899eaab098e9c00b3c6ea3f9161f
2001,November,644,293,293,331.8,403.5,1105,1779,5510,10550,1874a173724f899eaab098e9c00b3c6ea3f9161f
2001,December,1410,1410,1410,1410,1410,1410,1410,1410,1410,1874a173724f899eaab098e9c00b3c6ea3f9161f
2001,NA,3145,3145,3145,3145,3145,3145,3145,3145,3145,1874a173724f899eaab098e9c00b3c6ea3f9161f
2002,January,187,56,56,67.6,114.3,322.8,796.4,2081,3890,1874a173724f899eaab098e9c00b3c6ea3f9161f
2002,November,7063,7063,7063,7063,7063,7063,7063,7063,7063,1874a173724f899eaab098e9c00b3c6ea3f9161f
2002,December,525,525,525,525,525,525,525,525,525,1874a173724f899eaab098e9c00b3c6ea3f9161f
2002,NA,720.5,473,473,491.8,538.4,920.8,1675,3933,5500,1874a173724f899eaab098e9c00b3c6ea3f9161f
2003,January,220,220,220,220,220,220,220,220,220,1874a173724f899eaab098e9c00b3c6ea3f9161f
2003,November,1614,1614,1614,1614,1614,1614,1614,1614,1614,1874a173724f899eaab098e9c00b3c6ea3f9161f
2003,December,152,152,152,152,152,152,152,152,152,1874a173724f899eaab098e9c00b3c6ea3f9161f
2003,NA,6,6,6,6,6,6,6,6,6,1874a173724f899eaab098e9c00b3c6ea3f9161f
2004,January,4169,4169,4169,4169,4169,4169,4169,4169,4169,1874a173724f899eaab098e9c00b3c6ea3f9161f
2004,November,1158,1158,1158,1158,1158,1158,1158,1158,1158,1874a173724f899eaab098e9c00b3c6ea3f9161f
2004,December,1369,1369,1369,1369,1369,1369,1369,1369,1369,1874a173724f899eaab098e9c00b3c6ea3f9161f
2004,NA,2232,2232,2232,2232,2232,2232,2232,2232,2232,1874a173724f899eaab098e9c00b3c6ea3f9161f
2005,January,2761,2761,2761,2761,2761,2761,2761,2761,2761,1874a173724f899eaab098e9c00b3c6ea3f9161f
2005,November,4406,4406,4406,4406,4406,4406,4406,4406,4406,1874a173724f899eaab098e9c00b3c6ea3f9161f
2005,December,4346,4346,4346,4346,4346,4346,4346,4346,4346,1874a173724f899eaab098e9c00b3c6ea3f9161f
