winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,108,108,108,108,108,109,115.6,133,305,3b97a875fc44973567652b1c6187b701e8a59e97
1993,17,17,17,17,17,17,17,17,17,3b97a875fc44973567652b1c6187b701e8a59e97
1994,12,12,12,12,12,12,12,12,12,3b97a875fc44973567652b1c6187b701e8a59e97
1995,12,12,12,12,12,12,12,12,12,3b97a875fc44973567652b1c6187b701e8a59e97
1996,114,114,114,114,114,114,114,114,114,3b97a875fc44973567652b1c6187b701e8a59e97
1997,14,14,14,14,14,14,14,14,14,3b97a875fc44973567652b1c6187b701e8a59e97
1998,52,52,52,52,52,52,52,52,52,3b97a875fc44973567652b1c6187b701e8a59e97
1999,6,6,6,6,6,6,6,6,8,3b97a875fc44973567652b1c6187b701e8a59e97
2000,3,3,3,3,3,4,4,5,8,3b97a875fc44973567652b1c6187b701e8a59e97
2001,3,3,3,3,3,3,3,3,3,3b97a875fc44973567652b1c6187b701e8a59e97
2002,9,9,9,9,9,9,9,9,9,3b97a875fc44973567652b1c6187b701e8a59e97
2003,32,32,32,32,32,32,32.2,40,57,3b97a875fc44973567652b1c6187b701e8a59e97
2004,16,16,16,16,16,16,16,17,27,3b97a875fc44973567652b1c6187b701e8a59e97
2005,13,13,13,13,13,13,13,17,23,3b97a875fc44973567652b1c6187b701e8a59e97
2006,15,15,15,15,15,15,15,15,15,3b97a875fc44973567652b1c6187b701e8a59e97
2007,6,6,6,6,6,6,6,6,6,3b97a875fc44973567652b1c6187b701e8a59e97
2008,6,6,6,6,6,6,6,6,6,3b97a875fc44973567652b1c6187b701e8a59e97
2009,5,5,5,5,5,5,5,5,5,3b97a875fc44973567652b1c6187b701e8a59e97
2010,17,17,17,17,17,17,17,17,17,3b97a875fc44973567652b1c6187b701e8a59e97
2011,8,8,8,8,8,8,8,8,8,3b97a875fc44973567652b1c6187b701e8a59e97
2012,13,13,13,13,13,13,13,13,13,3b97a875fc44973567652b1c6187b701e8a59e97
2013,16,16,16,16,16,16,16,16,16,3b97a875fc44973567652b1c6187b701e8a59e97
2014,41,41,41,41,41,41,41,41,41,3b97a875fc44973567652b1c6187b701e8a59e97
2015,9,9,9,9,9,9,9,9.05,14,3b97a875fc44973567652b1c6187b701e8a59e97
2016,3,3,3,3,3,3,3,3,3,3b97a875fc44973567652b1c6187b701e8a59e97
2017,2,1,1,1,1,2,3,5,11,3b97a875fc44973567652b1c6187b701e8a59e97
2018,3,3,3,3,3,3,3,3,3,3b97a875fc44973567652b1c6187b701e8a59e97
2019,7,7,7,7,7,7,7,7,7,3b97a875fc44973567652b1c6187b701e8a59e97
2020,5,5,5,5,5,5,5,5,5,3b97a875fc44973567652b1c6187b701e8a59e97
2021,17,17,17,17,17,17,17,17,17,3b97a875fc44973567652b1c6187b701e8a59e97
2022,40,40,40,40,40,40,40,40,40,3b97a875fc44973567652b1c6187b701e8a59e97
2023,5,5,5,5,5,5,5,5,5,3b97a875fc44973567652b1c6187b701e8a59e97
2024,46,46,46,46,46,46,46,46,46,3b97a875fc44973567652b1c6187b701e8a59e97
