winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,177,177,177,177,177,179.4,199.2,236,530,bebe8f0011315e581fb735e6a78060899a69e4e0
1993,154,137,137,144,149,163,171.2,194.1,268,bebe8f0011315e581fb735e6a78060899a69e4e0
1994,104,101,101,101,101,108,116,124,149,bebe8f0011315e581fb735e6a78060899a69e4e0
1995,147,147,147,147,147,147,147,159.2,357,bebe8f0011315e581fb735e6a78060899a69e4e0
1996,138,138,138,138,138,138.4,148,167.6,502,bebe8f0011315e581fb735e6a78060899a69e4e0
1997,125,125,125,125,125,125,129.2,208.6,265,bebe8f0011315e581fb735e6a78060899a69e4e0
1998,127,127,127,127,127,127,127,146.3,209,bebe8f0011315e581fb735e6a78060899a69e4e0
1999,122,122,122,122,122,122,124.2,180,220,bebe8f0011315e581fb735e6a78060899a69e4e0
2000,108,108,108,108,108,108,108,108,108,bebe8f0011315e581fb735e6a78060899a69e4e0
2001,78,78,78,78,78,78,81,93.15,129,bebe8f0011315e581fb735e6a78060899a69e4e0
2002,93,93,93,93,93,93,93,113,136,bebe8f0011315e581fb735e6a78060899a69e4e0
2003,101,101,101,101,101,101,101,101,101,bebe8f0011315e581fb735e6a78060899a69e4e0
2004,102,102,102,102,102,102,102,102,102,bebe8f0011315e581fb735e6a78060899a69e4e0
2005,103,103,103,103,103,103,103,103,103,bebe8f0011315e581fb735e6a78060899a69e4e0
2006,102,59,73,88,96,113,131.8,172.1,296,bebe8f0011315e581fb735e6a78060899a69e4e0
2007,107,54,60.85,81.4,93.3,122.7,145.2,197.5,321,bebe8f0011315e581fb735e6a78060899a69e4e0
2008,125,102,102,108,113.6,132,156,221.1,287,bebe8f0011315e581fb735e6a78060899a69e4e0
2009,180,176,176,176,176,184,188,194,215,bebe8f0011315e581fb735e6a78060899a69e4e0
2010,74.5,74,74,74,74,78,83.2,92.1,98,bebe8f0011315e581fb735e6a78060899a69e4e0
2011,48.5,20,25,31,39.65,62.35,75.2,115.4,161,bebe8f0011315e581fb735e6a78060899a69e4e0
2012,65,65,65,65,65,65,65,78.15,98,bebe8f0011315e581fb735e6a78060899a69e4e0
2013,79,79,79,79,79,79,79,79,79,bebe8f0011315e581fb735e6a78060899a69e4e0
2014,42,42,42,42,42,42,42,42,42,bebe8f0011315e581fb735e6a78060899a69e4e0
2015,55,51,51,52,54,57,59,64.1,74,bebe8f0011315e581fb735e6a78060899a69e4e0
2016,43,28,29,34,36.65,49,61,92,153,bebe8f0011315e581fb735e6a78060899a69e4e0
2017,48,40,40,41,44,53.35,60,78.3,90,bebe8f0011315e581fb735e6a78060899a69e4e0
2018,55,50,50,52,53,56.35,59,63.05,66,bebe8f0011315e581fb735e6a78060899a69e4e0
2019,34,29,29,31,32,36,40,47.3,66,bebe8f0011315e581fb735e6a78060899a69e4e0
2020,54,54,54,54,54,54,54,55.1,67,bebe8f0011315e581fb735e6a78060899a69e4e0
2021,66,58,60,62,64,68,71,76.15,92,bebe8f0011315e581fb735e6a78060899a69e4e0
2022,56,56,56,56,56,57,60,64,80,bebe8f0011315e581fb735e6a78060899a69e4e0
2023,45,45,45,45,45,47,51,58.1,69,bebe8f0011315e581fb735e6a78060899a69e4e0
2024,66,64,64,64,65,68,71,76.1,103,bebe8f0011315e581fb735e6a78060899a69e4e0
