winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,5,5,5,5,5,5,5,5,5,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
1993,13,13,13,13,13,13,13,13,13,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
1994,8,8,8,8,8,8,8,8,8,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
1995,10,10,10,10,10,10,10,10,10,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
1996,10,10,10,10,10,10,10,10,10,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
1997,19,19,19,19,19,19,19,19,19,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
1998,13,13,13,13,13,13,13,13,13,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
1999,9,9,9,9,9,9,9,9,9,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2000,23,23,23,23,23,23,23,23,23,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2001,33,33,33,33,33,33,33,33,33,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2002,12,12,12,12,12,12,12,12,12,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2003,29,29,29,29,29,29,29,29,29,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2004,15,15,15,15,15,15,15,17.05,22,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2005,14,14,14,14,14,14,14,14,14,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2006,17,17,17,17,17,17,17,17,17,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2007,14,14,14,14,14,14,14,14,14,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2008,36,34,34,34,35,39,41,48.05,56,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2009,14,11,11,11.8,13,17,20.2,25,32,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2010,13,13,13,13,13,13,13,13.05,15,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2011,39,39,39,39,39,39,39,39,39,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2012,15,15,15,15,15,15,15,15,15,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2013,20,20,20,20,20,20,20,20,20,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2014,15,15,15,15,15,15,15,17.05,19,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2015,19,19,19,19,19,19,19,19,19,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2016,43,42,42,42,42,43,44,47,50,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2017,17,17,17,17,17,18,19,21,23,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2018,21,20,20,20,21,22,22.2,25,28,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2019,26,25,25,25,26,27,28,29,32,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2020,23,23,23,23,23,23,23,23,23,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2021,22,22,22,22,22,22,22,22,22,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2022,25,25,25,25,25,25,25,25,25,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2023,24,24,24,24,24,24,24,24,24,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
2024,18,18,18,18,18,18,18,18,18,354cb1a13b3547233dd16b6e8d25db17cbdc25c7
