winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,39,39,39,39,39,47,74.2,120.6,271,1ed80c66b510431cca9090316897aa19796a4ef9
1993,64,64,64,64,64,65,68,78.05,92,1ed80c66b510431cca9090316897aa19796a4ef9
1994,49,49,49,49,49,50,54,68.1,97,1ed80c66b510431cca9090316897aa19796a4ef9
1995,84.5,77,77,77,80,91,97,110.5,128,1ed80c66b510431cca9090316897aa19796a4ef9
1996,30.5,13,15.95,20,25,38.35,46,63.1,115,1ed80c66b510431cca9090316897aa19796a4ef9
1997,87,44,44,50.8,66.65,120.7,195.8,396.4,605,1ed80c66b510431cca9090316897aa19796a4ef9
1998,70,68,68,68,68,73,75,85.05,92,1ed80c66b510431cca9090316897aa19796a4ef9
1999,35,34,34,34,34,37.35,42.2,60.05,76,1ed80c66b510431cca9090316897aa19796a4ef9
2000,151,151,151,151,151,151,151,151,151,1ed80c66b510431cca9090316897aa19796a4ef9
2001,172,165,165,165,165,191,217.4,280.3,516,1ed80c66b510431cca9090316897aa19796a4ef9
2002,163,163,163,163,163,163,184.4,282.7,381,1ed80c66b510431cca9090316897aa19796a4ef9
2003,130,130,130,130,130,130,130,130,130,1ed80c66b510431cca9090316897aa19796a4ef9
2004,176,176,176,176,176,178,185.2,207.2,295,1ed80c66b510431cca9090316897aa19796a4ef9
2005,315,315,315,315,315,315,315,315,315,1ed80c66b510431cca9090316897aa19796a4ef9
2006,227.5,224,224,224,225,231,239,250,279,1ed80c66b510431cca9090316897aa19796a4ef9
2007,198.5,180,180,184,191,206.4,220.2,264.5,343,1ed80c66b510431cca9090316897aa19796a4ef9
2008,416,416,416,416,416,416,416.2,470.1,512,1ed80c66b510431cca9090316897aa19796a4ef9
2009,419,419,419,419,419,419,419,498.9,765,1ed80c66b510431cca9090316897aa19796a4ef9
2010,255,255,255,255,255,255,257.2,278.2,334,1ed80c66b510431cca9090316897aa19796a4ef9
2011,636,636,636,636,636,639.4,646,679.3,777,1ed80c66b510431cca9090316897aa19796a4ef9
2012,636,625,625,627,631,642,658,703.4,750,1ed80c66b510431cca9090316897aa19796a4ef9
2013,555,538,538,538,545.3,566.4,591,621.7,675,1ed80c66b510431cca9090316897aa19796a4ef9
2014,876,876,876,876,876,876,879,886.1,898,1ed80c66b510431cca9090316897aa19796a4ef9
2015,1315,1315,1315,1315,1315,1317,1319,1324,1381,1ed80c66b510431cca9090316897aa19796a4ef9
2016,1376,1376,1376,1376,1376,1376,1376,1376,1376,1ed80c66b510431cca9090316897aa19796a4ef9
2017,913,913,913,913,913,913,913,913,913,1ed80c66b510431cca9090316897aa19796a4ef9
2018,674,674,674,674,674,674,674,674,674,1ed80c66b510431cca9090316897aa19796a4ef9
2019,739,739,739,739,739,739,739,739,739,1ed80c66b510431cca9090316897aa19796a4ef9
2020,784,784,784,784,784,784,784,784,784,1ed80c66b510431cca9090316897aa19796a4ef9
2021,781,781,781,781,781,781,781,781,781,1ed80c66b510431cca9090316897aa19796a4ef9
2022,875,875,875,875,875,875,875,875,875,1ed80c66b510431cca9090316897aa19796a4ef9
2023,974,974,974,974,974,974,974,974,974,1ed80c66b510431cca9090316897aa19796a4ef9
2024,1294,1291,1291,1291,1291,1298,1310,1347,1389,1ed80c66b510431cca9090316897aa19796a4ef9
