winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,3762,2906,3227,3488,3645,3952,4367,5007,5896,0e3f466b734c6ac91edde9ff2a74848e3734f88b
1993,5873,5381,5437,5640,5752,6000,6171,6671,6814,0e3f466b734c6ac91edde9ff2a74848e3734f88b
1994,5208,4625,4870,5022,5110,5451,5616,6102,7549,0e3f466b734c6ac91edde9ff2a74848e3734f88b
1995,5650,5110,5309,5444,5538,5759,5913,6283,6787,0e3f466b734c6ac91edde9ff2a74848e3734f88b
1996,6486,5939,6102,6233,6342,6692,6852,7339,7598,0e3f466b734c6ac91edde9ff2a74848e3734f88b
1997,5457,5206,5255,5341,5423,5524,5658,5909,6403,0e3f466b734c6ac91edde9ff2a74848e3734f88b
1998,6193,5821,5921,6001,6073,6235,6371,6724,7152,0e3f466b734c6ac91edde9ff2a74848e3734f88b
1999,5362,5098,5125,5251,5303,5427,5526,5852,6115,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2000,6096,5687,5791,5952,6015,6148,6288,6623,7777,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2001,6974,6376,6567,6730,6865,7092,7221,7528,8387,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2002,6465,6086,6222,6307,6376,6518,6652,6980,7632,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2003,7248,6737,6935,7039,7137,7359,7510,7870,8680,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2004,7044,6497,6643,6862,6952,7140,7299,7721,8681,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2005,5578,5350,5398,5471,5522,5647,5721,5988,6415,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2006,5168,4864,4972,5056,5101,5223,5318,5480,5878,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2007,5553,5282,5334,5418,5495,5614,5761,6065,6861,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2008,5247,4970,5073,5137,5183,5304,5379,5599,5819,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2009,4206,3938,3974,4063,4139,4281,4474,4829,5950,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2010,3502,3127,3232,3310,3401,3617,3750,4016,4791,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2011,4296,3994,4108,4172,4222,4358,4480,4690,5175,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2012,3956,3765,3813,3885,3919,4014,4067,4344,4549,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2013,4006,3760,3827,3899,3940,4058,4114,4351,4813,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2014,4768,4472,4544,4632,4691,4856,4954,5138,5488,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2015,5110,4918,4959,5030,5056,5158,5252,5356,5972,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2016,3825,3641,3684,3735,3773,3881,3932,4074,4628,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2017,3938,3670,3737,3817,3883,4015,4076,4217,4328,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2018,4490,4364,4392,4426,4462,4532,4592,4709,4801,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2019,4050,3808,3912,3980,4005,4084,4171,4370,4602,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2020,3928,3661,3724,3805,3863,3990,4072,4219,4718,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2021,5718,5525,5571,5635,5680,5776,5843,6020,6445,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2022,3808,3681,3718,3754,3786,3835,3867,3932,3990,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2023,3757,3635,3679,3707,3729,3786,3808,3880,3971,0e3f466b734c6ac91edde9ff2a74848e3734f88b
2024,4949,4699,4754,4826,4900,5041,5196,5711,6097,0e3f466b734c6ac91edde9ff2a74848e3734f88b
