winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,238,238,238,238,238,238,238,242.1,276,6e2a798a502ce84b14dbcc5336928ab50907facf
2001,10,3,3,5,7,14,30.2,57.8,223,6e2a798a502ce84b14dbcc5336928ab50907facf
2002,35,26,26.95,29,30.65,39,49.2,76.35,160,6e2a798a502ce84b14dbcc5336928ab50907facf
2003,420,416,416,417,418,423,426.2,438,451,6e2a798a502ce84b14dbcc5336928ab50907facf
2004,453.5,452,452,452,453,455,458,468.1,552,6e2a798a502ce84b14dbcc5336928ab50907facf
2005,109.5,98,98,101,105,120.4,129.6,174.5,288,6e2a798a502ce84b14dbcc5336928ab50907facf
2006,510,509,509,509,510,511,513,517,521,6e2a798a502ce84b14dbcc5336928ab50907facf
2007,222,222,222,222,222,224.4,228.2,243,259,6e2a798a502ce84b14dbcc5336928ab50907facf
2008,116,112,113,113,115,117,126.2,143.3,249,6e2a798a502ce84b14dbcc5336928ab50907facf
2009,346,343,343,344,345,348,350,357.2,393,6e2a798a502ce84b14dbcc5336928ab50907facf
2010,314,312,312,313,313.6,316,317,320,354,6e2a798a502ce84b14dbcc5336928ab50907facf
2011,37,32,33,34,35,39.35,46.4,79.05,106,6e2a798a502ce84b14dbcc5336928ab50907facf
2012,41,38,38,39,40,43,45,51,69,6e2a798a502ce84b14dbcc5336928ab50907facf
2013,519,517,517,518,518,520,522,526.1,536,6e2a798a502ce84b14dbcc5336928ab50907facf
2014,46,44,44,45,45.65,47.35,49,52,72,6e2a798a502ce84b14dbcc5336928ab50907facf
2015,1530,1530,1530,1530,1530,1531,1531,1532,1534,6e2a798a502ce84b14dbcc5336928ab50907facf
2016,67,66,66,66,67,69,71,88.05,192,6e2a798a502ce84b14dbcc5336928ab50907facf
2017,51,51,51,51,51,52,52,53,54,6e2a798a502ce84b14dbcc5336928ab50907facf
2018,27,27,27,27,27,28,28,28,29,6e2a798a502ce84b14dbcc5336928ab50907facf
2019,96,96,96,96,96,96,96,96,96,6e2a798a502ce84b14dbcc5336928ab50907facf
2020,1049,1049,1049,1049,1049,1049,1049,1049,1049,6e2a798a502ce84b14dbcc5336928ab50907facf
2021,99,99,99,99,99,99,99,99,99,6e2a798a502ce84b14dbcc5336928ab50907facf
2022,438,438,438,438,438,438,438,438,438,6e2a798a502ce84b14dbcc5336928ab50907facf
2023,143,142,142,142,143,145,148,154,168,6e2a798a502ce84b14dbcc5336928ab50907facf
2024,42,42,42,42,42,42,42,42,42,6e2a798a502ce84b14dbcc5336928ab50907facf
