winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,139,89,97,112,121.3,153.8,172.2,225.2,299,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2001,198,72,96.85,145.6,176.6,221,242,356.7,543,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2002,215.5,97,121.9,169.6,188,242.4,282,342,388,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2003,147.5,63,74.8,108.8,131.8,172.7,205.6,256,325,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2004,127,53,74.9,100.6,109,143.4,175,220.5,280,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2005,175.5,119,125.9,143.8,159.6,194.4,217.2,255,305,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2006,109.5,85,90.95,98,103.6,115,119,128.1,139,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2007,136,91,91,109,123,150.4,164,198.9,253,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2008,104,102,102,102,103,106,107.2,117.2,125,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2009,105.5,97,98,100,102,109,114,123,152,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2010,77.5,73,73,74,75,79,82,88.05,98,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2011,75,71,71,71,73,76.35,78.2,84.2,95,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2012,33,30,30,30,32,35,38,44,51,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2013,21,16,17,18,20,22,23,27,30,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2014,30,26,26,28,29,32,34,39,44,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2015,40,28,31,33.8,36,44,50.2,65.2,105,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2016,72,63,65,69,71,74,78,85.1,90,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2017,96,87,90,93,94,100,102,112,134,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2018,81.5,77,78,79.8,80,83,84,86,95,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2019,53,35,38.95,43,48.65,58,64.2,76.2,110,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2020,61,44,46,51,54.65,67,75.6,91.05,164,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2021,57,41,43.9,49,54,62,71.2,99,123,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2022,37,24,27,31,34,41,45.2,53.05,66,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2023,31,22,22,26,28,33.35,37.2,51.05,66,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
2024,19,19,19,19,19,19,19,19,19,8ce86b4eec9ed122ccdc61ee17a8d11c443bb030
