winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,368,368,368,368,368,368,368,397,457,b26fe664ad9288a6e937e8c721700c59da21851c
1993,1091,1091,1091,1091,1091,1091,1097,1136,1357,b26fe664ad9288a6e937e8c721700c59da21851c
1994,1829,1829,1829,1829,1829,1829,1829,1829,1829,b26fe664ad9288a6e937e8c721700c59da21851c
1995,2175,2175,2175,2175,2175,2175,2175,2175,2175,b26fe664ad9288a6e937e8c721700c59da21851c
1996,8984,8984,8984,8984,8984,8985,9080,9476,10090,b26fe664ad9288a6e937e8c721700c59da21851c
1997,10300,10300,10300,10300,10300,10300,10300,10300,10300,b26fe664ad9288a6e937e8c721700c59da21851c
1998,1617,1617,1617,1617,1617,1617,1698,2013,2611,b26fe664ad9288a6e937e8c721700c59da21851c
1999,5954,5954,5954,5954,5954,5961,6021,6359,6658,b26fe664ad9288a6e937e8c721700c59da21851c
2000,3644,3644,3644,3644,3644,3654,3717,3906,4079,b26fe664ad9288a6e937e8c721700c59da21851c
2001,4338,4338,4338,4338,4338,4354,4424,4728,5498,b26fe664ad9288a6e937e8c721700c59da21851c
2002,13580,13580,13580,13580,13580,13580,13640,13990,15490,b26fe664ad9288a6e937e8c721700c59da21851c
2003,13160,13160,13160,13160,13160,13160,13160,13160,13160,b26fe664ad9288a6e937e8c721700c59da21851c
2004,7937,7937,7937,7937,7937,7937,7937,7937,7937,b26fe664ad9288a6e937e8c721700c59da21851c
2005,5515,5515,5515,5515,5515,5515,5518,5619,5679,b26fe664ad9288a6e937e8c721700c59da21851c
2006,7892,7892,7892,7892,7892,7892,7892,7892,7892,b26fe664ad9288a6e937e8c721700c59da21851c
2007,5083,5083,5083,5083,5083,5083,5083,5083,5083,b26fe664ad9288a6e937e8c721700c59da21851c
2008,70,70,70,70,70,70,70,70,70,b26fe664ad9288a6e937e8c721700c59da21851c
2009,94,94,94,94,94,94,94,94,94,b26fe664ad9288a6e937e8c721700c59da21851c
2010,131,107,107,107,107,216.7,326.6,739.2,1364,b26fe664ad9288a6e937e8c721700c59da21851c
2011,231,231,231,231,231,231,231,242.2,270,b26fe664ad9288a6e937e8c721700c59da21851c
2012,54,54,54,54,54,54,54,54,54,b26fe664ad9288a6e937e8c721700c59da21851c
2013,3,3,3,3,3,3,3,3,3,b26fe664ad9288a6e937e8c721700c59da21851c
2014,0,0,0,0,0,0,0,1,10,b26fe664ad9288a6e937e8c721700c59da21851c
2015,1,1,1,1,1,1,2,51.6,195,b26fe664ad9288a6e937e8c721700c59da21851c
2016,0,0,0,0,0,0,0,0,0,b26fe664ad9288a6e937e8c721700c59da21851c
2017,1,1,1,1,1,1,1,1,1,b26fe664ad9288a6e937e8c721700c59da21851c
2018,1,1,1,1,1,1,1,1,1,b26fe664ad9288a6e937e8c721700c59da21851c
2019,0,0,0,0,0,0,0,0,0,b26fe664ad9288a6e937e8c721700c59da21851c
2020,0,0,0,0,0,0,0,0,0,b26fe664ad9288a6e937e8c721700c59da21851c
2021,1,1,1,1,1,1,1,1,1,b26fe664ad9288a6e937e8c721700c59da21851c
2022,0,0,0,0,0,0,0,0,0,b26fe664ad9288a6e937e8c721700c59da21851c
2023,0,0,0,0,0,0,0,0,0,b26fe664ad9288a6e937e8c721700c59da21851c
2024,1,1,1,1,1,1,1,1,1,b26fe664ad9288a6e937e8c721700c59da21851c
