winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
2000,126,126,126,126,126,126,126,126,126,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2001,216,216,216,216,216,216,216,216,216,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2002,46,46,46,46,46,46,46,46,46,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2003,152,152,152,152,152,152,152,152,152,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2004,278,278,278,278,278,278,278,278,278,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2005,195,195,195,195,195,195,195,195,195,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2006,289,289,289,289,289,289,289,289,289,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2007,364.5,12,76,153.8,275.6,609.9,749,1222,2506,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2008,278,0,40.8,129.6,208.2,404.4,617,955,1709,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2009,509,475,475,475,475,567,761.4,1069,1415,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2010,520,520,520,520,520,539.8,626,993.4,1393,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2011,274.5,200,200,200,223,324.1,483.8,923.6,1849,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2012,148,90,90,90,109,222.4,306,685.2,1337,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2013,348,272,272,272,290.6,438.8,667,925.1,1602,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2014,773.5,773,773,773,773,828,898,1184,1969,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2015,437.5,370,370,370,377.9,501,634.8,956.8,1240,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2016,1373,1373,1373,1373,1373,1373,1373,1373,1373,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2017,328,328,328,328,328,328,328,328,328,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2018,658,658,658,658,658,658,658,658,658,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2019,612,612,612,612,612,612,612,612,612,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2020,665,665,665,665,665,665,665,847.4,1352,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2021,477,477,477,477,477,477,477,477,477,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2022,1243,1243,1243,1243,1243,1243,1243,1243,1466,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2023,900,900,900,900,900,900,900,900,900,67f881767dd2e5d84583e9f4b24b2bcbf0897297
2024,880,880,880,880,880,880,880,880,880,67f881767dd2e5d84583e9f4b24b2bcbf0897297
