winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,5861,5299,5441,5625,5749,6041,6175,6573,7981,337283611603a41b519117c81ae38a902960aa4e
1993,5356,4999,5066,5206,5270,5411,5486,5746,5985,337283611603a41b519117c81ae38a902960aa4e
1994,5336,4924,5021,5152,5256,5482,5636,5878,6202,337283611603a41b519117c81ae38a902960aa4e
1995,5173,4672,4906,4999,5068,5254,5455,5764,6419,337283611603a41b519117c81ae38a902960aa4e
1996,6785,6163,6280,6483,6640,6964,7150,7466,7672,337283611603a41b519117c81ae38a902960aa4e
1997,7873,7244,7451,7631,7789,8029,8242,8646,9786,337283611603a41b519117c81ae38a902960aa4e
1998,4370,3784,3914,4123,4195,4592,4753,5057,6263,337283611603a41b519117c81ae38a902960aa4e
1999,5566,5009,5150,5331,5443,5703,5896,6374,6719,337283611603a41b519117c81ae38a902960aa4e
2000,5540,5076,5229,5354,5434,5680,5768,6186,7047,337283611603a41b519117c81ae38a902960aa4e
2001,4854,4500,4597,4718,4774,4941,5114,5371,6117,337283611603a41b519117c81ae38a902960aa4e
2002,6299,6112,6133,6174,6234,6344,6382,6707,7065,337283611603a41b519117c81ae38a902960aa4e
2003,5580,5434,5483,5520,5544,5626,5692,5776,5982,337283611603a41b519117c81ae38a902960aa4e
2004,3894,3811,3825,3846,3880,3917,3971,4136,4446,337283611603a41b519117c81ae38a902960aa4e
2005,4069,3999,4009,4043,4053,4089,4140,4207,4360,337283611603a41b519117c81ae38a902960aa4e
2006,3820,3730,3750,3774,3790,3844,3882,3958,4039,337283611603a41b519117c81ae38a902960aa4e
2007,3045,2867,2918,2976,3006,3091,3163,3245,3464,337283611603a41b519117c81ae38a902960aa4e
2008,3116,3003,3030,3063,3093,3147,3179,3263,3378,337283611603a41b519117c81ae38a902960aa4e
2009,4282,4203,4214,4244,4266,4315,4340,4390,4453,337283611603a41b519117c81ae38a902960aa4e
2010,3870,3706,3765,3800,3841,3923,3971,4051,4617,337283611603a41b519117c81ae38a902960aa4e
2011,3142,2761,2813,2938,3025,3386,3626,4458,5487,337283611603a41b519117c81ae38a902960aa4e
2012,3568,2934,3053,3245,3337,3852,4176,5047,6178,337283611603a41b519117c81ae38a902960aa4e
2013,3721,3363,3441,3548,3655,3804,3915,4176,4824,337283611603a41b519117c81ae38a902960aa4e
2014,2783,2383,2456,2609,2693,2856,3002,3293,3884,337283611603a41b519117c81ae38a902960aa4e
2015,2699,2255,2375,2504,2590,2796,2910,3288,4249,337283611603a41b519117c81ae38a902960aa4e
2016,3025,2577,2656,2835,2927,3135,3357,3677,4113,337283611603a41b519117c81ae38a902960aa4e
2017,2956,2210,2302,2543,2731,3187,3477,4029,4849,337283611603a41b519117c81ae38a902960aa4e
2018,2797,2666,2686,2734,2759,2838,2887,3003,3085,337283611603a41b519117c81ae38a902960aa4e
2019,2960,2613,2716,2787,2895,3022,3099,3317,3805,337283611603a41b519117c81ae38a902960aa4e
2020,2531,2367,2417,2463,2502,2568,2613,2719,2927,337283611603a41b519117c81ae38a902960aa4e
2021,3278,3093,3144,3202,3248,3319,3395,3508,3639,337283611603a41b519117c81ae38a902960aa4e
2022,2803,2669,2706,2748,2776,2826,2852,2953,3128,337283611603a41b519117c81ae38a902960aa4e
2023,3039,2847,2902,2955,3003,3068,3104,3246,3326,337283611603a41b519117c81ae38a902960aa4e
2024,3214,2992,3033,3118,3160,3254,3317,3439,3739,337283611603a41b519117c81ae38a902960aa4e
