winter,median,min,q05,q20,q35,q65,q80,q95,max,analysis
1992,67.5,0,0,7.6,24,112.4,155.2,340,732,544468268e783ea7bf36e8034d1a2f74d89675fa
1993,118.5,11,22.8,60.2,81.65,165,217.2,412.4,899,544468268e783ea7bf36e8034d1a2f74d89675fa
1994,184,20,57.9,94.4,137.6,235.4,275,458.2,855,544468268e783ea7bf36e8034d1a2f74d89675fa
1995,187.5,53,87.95,112.6,149.2,243.4,353,480.9,855,544468268e783ea7bf36e8034d1a2f74d89675fa
1996,167.5,57,77.65,105,135,213.4,253.4,374,550,544468268e783ea7bf36e8034d1a2f74d89675fa
1997,319,173,193.6,231.4,280.5,361,414.8,549.3,847,544468268e783ea7bf36e8034d1a2f74d89675fa
1998,337.5,121,173.9,233.8,292,395,492.6,737.5,824,544468268e783ea7bf36e8034d1a2f74d89675fa
1999,424,209,254,298.8,344.3,457.4,520.4,753.1,1120,544468268e783ea7bf36e8034d1a2f74d89675fa
2000,675,440,472,551.2,624.3,746.3,848.8,1085,1644,544468268e783ea7bf36e8034d1a2f74d89675fa
2001,1160,662,786.7,978.6,1053,1272,1427,2084,3063,544468268e783ea7bf36e8034d1a2f74d89675fa
2002,1490,885,1078,1238,1354,1646,1859,2368,3576,544468268e783ea7bf36e8034d1a2f74d89675fa
2003,1810,1144,1258,1502,1659,1985,2244,2733,3252,544468268e783ea7bf36e8034d1a2f74d89675fa
2004,1772,1020,1300,1479,1616,1962,2172,2474,3121,544468268e783ea7bf36e8034d1a2f74d89675fa
2005,1816,1347,1434,1591,1726,1957,2226,2720,3551,544468268e783ea7bf36e8034d1a2f74d89675fa
2006,2538,2011,2106,2265,2388,2690,2862,3719,4455,544468268e783ea7bf36e8034d1a2f74d89675fa
2007,2022,1559,1631,1772,1893,2145,2306,2669,3074,544468268e783ea7bf36e8034d1a2f74d89675fa
2008,2414,1994,2086,2211,2312,2515,2681,2946,3405,544468268e783ea7bf36e8034d1a2f74d89675fa
2009,2801,2449,2497,2627,2735,2963,3154,3408,4016,544468268e783ea7bf36e8034d1a2f74d89675fa
2010,3594,2875,3051,3286,3416,3920,4289,5201,5886,544468268e783ea7bf36e8034d1a2f74d89675fa
2011,3938,2789,3194,3566,3740,4214,4505,5452,6137,544468268e783ea7bf36e8034d1a2f74d89675fa
2012,4267,3249,3663,3875,4026,4475,4666,5543,7256,544468268e783ea7bf36e8034d1a2f74d89675fa
2013,3844,3031,3210,3503,3724,4140,4365,4843,6065,544468268e783ea7bf36e8034d1a2f74d89675fa
2014,4098,3584,3706,3840,3965,4295,4624,5050,5613,544468268e783ea7bf36e8034d1a2f74d89675fa
2015,4089,3850,3891,3965,4020,4190,4362,4736,5957,544468268e783ea7bf36e8034d1a2f74d89675fa
2016,4336,4038,4110,4176,4283,4421,4591,4745,5468,544468268e783ea7bf36e8034d1a2f74d89675fa
2017,3610,3411,3466,3512,3565,3676,3773,3917,4241,544468268e783ea7bf36e8034d1a2f74d89675fa
2018,4045,3733,3838,3926,3996,4083,4254,4490,5017,544468268e783ea7bf36e8034d1a2f74d89675fa
2019,5316,5187,5205,5238,5277,5354,5431,5572,5657,544468268e783ea7bf36e8034d1a2f74d89675fa
2020,4466,4129,4213,4305,4373,4527,4674,4815,5069,544468268e783ea7bf36e8034d1a2f74d89675fa
2021,5165,4385,4648,4829,5000,5376,5697,6222,6805,544468268e783ea7bf36e8034d1a2f74d89675fa
2022,5676,5305,5378,5483,5561,5807,5970,6429,7640,544468268e783ea7bf36e8034d1a2f74d89675fa
2023,6854,6311,6467,6617,6746,7028,7267,7702,8390,544468268e783ea7bf36e8034d1a2f74d89675fa
2024,6111,5544,5667,5759,5964,6249,6404,6701,7614,544468268e783ea7bf36e8034d1a2f74d89675fa
