analysis,centre_winter,duration,estimate,se,lcl,ucl
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2010.5,10,-0.08353,0.04613,-0.1739,0.006872
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2011.5,10,-0.05385,0.0399,-0.1321,0.02435
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2012.5,10,-0.003318,0.03609,-0.07405,0.06742
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2013.5,10,0.02596,0.03995,-0.05234,0.1043
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2014.5,10,0.05223,0.04627,-0.03847,0.1429
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2015.5,10,0.04858,0.0454,-0.0404,0.1376
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2016.5,10,0.02303,0.04109,-0.05751,0.1036
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2017.5,10,0.003583,0.03949,-0.07381,0.08097
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2018.5,10,0.003808,0.0376,-0.06988,0.0775
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2019.5,10,-0.00788,0.03808,-0.08252,0.06676
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2000.5,12,0.4455,0.2188,0.01674,0.8743
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2001.5,12,0.3919,0.1876,0.02411,0.7596
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2002.5,12,0.3137,0.1486,0.02242,0.605
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2003.5,12,0.2103,0.09618,0.02175,0.3988
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2004.5,12,0.08441,0.04546,-0.004692,0.1735
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2005.5,12,-0.03316,0.03878,-0.1092,0.04284
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2006.5,12,-0.05341,0.03936,-0.1306,0.02373
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2007.5,12,-0.07767,0.04348,-0.1629,0.007542
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2008.5,12,-0.08576,0.04437,-0.1727,0.001195
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2009.5,12,-0.06861,0.03725,-0.1416,0.004395
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2010.5,12,-0.06012,0.03468,-0.1281,0.007858
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2011.5,12,-0.03355,0.0292,-0.09078,0.02368
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2012.5,12,-0.02051,0.0286,-0.07658,0.03555
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2013.5,12,0.002276,0.02918,-0.05492,0.05947
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2014.5,12,0.01413,0.03133,-0.04728,0.07553
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2015.5,12,0.01692,0.03272,-0.04722,0.08106
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2016.5,12,0.02211,0.0332,-0.04296,0.08719
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2017.5,12,0.02851,0.03321,-0.03658,0.0936
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2018.5,12,0.02654,0.03251,-0.03718,0.09026
c238f173109ad2c59a513494e82bf7d76ca3e9fb,2009.5,30,0.08037,0.04235,-0.002636,0.1634
